date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/13/2013,North Dakota St.,3-0,3.0,0,41.0,14.0,107.0,0.252,37.0,6.0,7.0,61.0,1.0,3.0,2.0,0.0,51.0,0.0,North Dakota St.,3,13.666666666666666,4.666666666666667,35.666666666666664,12.333333333333334,2.0,2.3333333333333335,20.333333333333332,0.3333333333333333,1.0,0.6666666666666666,0.0,17.0
10/18/2013,@ South Dakota,0-3,3.0,0,32.0,15.0,90.0,0.189,28.0,1.0,5.0,31.0,6.0,0.0,2.0,0.0,34.0,0.0,South Dakota,3,10.666666666666666,5.0,30.0,9.333333333333334,0.3333333333333333,1.6666666666666667,10.333333333333334,2.0,0.0,0.6666666666666666,0.0,11.333333333333334
10/20/2013,@ Denver,0-3,3.0,0,22.0,18.0,72.0,0.056,22.0,1.0,4.0,14.0,9.0,0.0,2.0,2.0,24.0,0.0,Denver,3,7.333333333333333,6.0,24.0,7.333333333333333,0.3333333333333333,1.3333333333333333,4.666666666666667,3.0,0.0,0.6666666666666666,0.6666666666666666,8.0
10/26/2013,Omaha,3-0,3.0,0,42.0,19.0,131.0,0.176,39.0,5.0,5.0,56.0,5.0,3.0,4.0,1.0,52.0,0.0,Omaha,3,14.0,6.333333333333333,43.666666666666664,13.0,1.6666666666666667,1.6666666666666667,18.666666666666668,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,17.333333333333332
11/01/2013,Purdue Fort Wayne,3-2,5.0,0,51.0,31.0,159.0,0.126,49.0,8.0,3.0,78.0,4.0,9.0,8.0,3.0,72.0,0.0,Purdue Fort Wayne,5,10.2,6.2,31.8,9.8,1.6,0.6,15.6,0.8,1.8,1.6,0.6,14.4
11/03/2013,IUPUI,2-3,5.0,0,54.0,35.0,201.0,0.095,51.0,4.0,5.0,91.0,6.0,6.0,18.0,2.0,73.0,0.0,IUPUI,5,10.8,7.0,40.2,10.2,0.8,1.0,18.2,1.2,1.2,3.6,0.4,14.6
11/08/2013,@ North Dakota St.,0-3,3.0,0,32.0,18.0,100.0,0.14,29.0,8.0,4.0,44.0,10.0,1.0,6.0,3.0,44.0,0.0,North Dakota St.,3,10.666666666666666,6.0,33.333333333333336,9.666666666666666,2.6666666666666665,1.3333333333333333,14.666666666666666,3.333333333333333,0.3333333333333333,2.0,1.0,14.666666666666666
11/09/2013,@ South Dakota St.,2-3,5.0,0,63.0,27.0,177.0,0.203,57.0,10.0,15.0,79.0,4.0,1.0,12.0,6.0,80.0,0.0,South Dakota St.,5,12.6,5.4,35.4,11.4,2.0,3.0,15.8,0.8,0.2,2.4,1.2,16.0
11/15/2013,Denver,0-3,3.0,0,36.0,27.0,131.0,0.069,34.0,4.0,7.0,59.0,3.0,2.0,4.0,1.0,44.0,0.0,Denver,3,12.0,9.0,43.666666666666664,11.333333333333334,1.3333333333333333,2.3333333333333335,19.666666666666668,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,14.666666666666666
11/17/2013,South Dakota,3-2,5.0,0,65.0,26.0,173.0,0.225,63.0,3.0,6.0,84.0,7.0,0.0,20.0,0.0,78.0,1.0,South Dakota,5,13.0,5.2,34.6,12.6,0.6,1.2,16.8,1.4,0.0,4.0,0.0,15.6
11/22/2013,@ South Dakota,0-3,3.0,0,37.0,20.0,114.0,0.149,35.0,2.0,9.0,46.0,4.0,0.0,4.0,2.0,41.0,1.0,South Dakota,3,12.333333333333334,6.666666666666667,38.0,11.666666666666666,0.6666666666666666,3.0,15.333333333333334,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,13.666666666666666
