date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
09/06/2013,@ Cal St. Monterey Bay,2-3,5.0,0,56.0,19.0,184.0,0.201,53.0,10.0,10.0,81.0,5.0,2.0,12.0,0.0,74.0,0.0,Cal St. Monterey Bay,5,11.2,3.8,36.8,10.6,2.0,2.0,16.2,1.0,0.4,2.4,0.0,14.8
09/06/2013,"San Fran. St. @ Seaside, CA",0-3,3.0,0,34.0,19.0,123.0,0.122,33.0,1.0,11.0,69.0,6.0,1.0,6.0,1.0,39.0,0.0,San Fran. St.,3,11.333333333333334,6.333333333333333,41.0,11.0,0.3333333333333333,3.6666666666666665,23.0,2.0,0.3333333333333333,2.0,0.3333333333333333,13.0
09/07/2013,"Saint Martin's @ Seaside, CA",3-1,4.0,0,50.0,25.0,149.0,0.168,45.0,8.0,5.0,58.0,6.0,4.0,12.0,1.0,68.0,0.0,Saint Martin's,4,12.5,6.25,37.25,11.25,2.0,1.25,14.5,1.5,1.0,3.0,0.25,17.0
09/07/2013,"Saint Martin's @ Seaside, CA",3-0,3.0,0,41.0,12.0,87.0,0.333,40.0,7.0,9.0,44.0,4.0,2.0,6.0,2.0,53.0,1.0,Saint Martin's,3,13.666666666666666,4.0,29.0,13.333333333333334,2.3333333333333335,3.0,14.666666666666666,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,17.666666666666668
09/13/2013,"Cal St. Dom. Hills @ La Jolla, CA",2-3,5.0,0,60.0,26.0,162.0,0.21,53.0,8.0,8.0,67.0,4.0,6.0,6.0,2.0,77.0,1.0,Cal St. Dom. Hills,5,12.0,5.2,32.4,10.6,1.6,1.6,13.4,0.8,1.2,1.2,0.4,15.4
09/13/2013,@ UC San Diego,1-3,4.0,0,47.0,19.0,130.0,0.215,45.0,5.0,7.0,59.0,4.0,6.0,10.0,3.0,63.0,1.0,UC San Diego,4,11.75,4.75,32.5,11.25,1.25,1.75,14.75,1.0,1.5,2.5,0.75,15.75
09/14/2013,"Cal Poly Pomona @ La Jolla, CA",3-2,5.0,0,71.0,29.0,184.0,0.228,63.0,10.0,11.0,73.0,3.0,4.0,12.0,2.0,91.0,0.0,Cal Poly Pomona,5,14.2,5.8,36.8,12.6,2.0,2.2,14.6,0.6,0.8,2.4,0.4,18.2
09/14/2013,"CSUSB @ La Jolla, CA",2-3,5.0,0,60.0,30.0,167.0,0.18,59.0,13.0,12.0,72.0,1.0,4.0,16.0,5.0,85.0,0.0,CSUSB,5,12.0,6.0,33.4,11.8,2.6,2.4,14.4,0.2,0.8,3.2,1.0,17.0
09/19/2013,@ Academy of Art,3-1,4.0,0,44.0,18.0,129.0,0.202,40.0,8.0,6.0,66.0,3.0,5.0,22.0,2.0,68.0,1.0,Academy of Art,4,11.0,4.5,32.25,10.0,2.0,1.5,16.5,0.75,1.25,5.5,0.5,17.0
09/20/2013,@ Notre Dame de Namur,3-0,3.0,0,37.0,9.0,91.0,0.308,34.0,9.0,7.0,41.0,4.0,2.0,10.0,1.0,53.0,2.0,Notre Dame de Namur,3,12.333333333333334,3.0,30.333333333333332,11.333333333333334,3.0,2.3333333333333335,13.666666666666666,1.3333333333333333,0.6666666666666666,3.3333333333333335,0.3333333333333333,17.666666666666668
09/21/2013,@ Dominican (CA),3-1,4.0,0,51.0,21.0,146.0,0.205,46.0,4.0,8.0,71.0,5.0,7.0,12.0,0.0,68.0,0.0,Dominican ,4,12.75,5.25,36.5,11.5,1.0,2.0,17.75,1.25,1.75,3.0,0.0,17.0
09/25/2013,Fresno Pacific,3-0,3.0,0,34.0,15.0,101.0,0.188,32.0,10.0,7.0,53.0,2.0,3.0,16.0,1.0,55.0,0.0,Fresno Pacific,3,11.333333333333334,5.0,33.666666666666664,10.666666666666666,3.3333333333333335,2.3333333333333335,17.666666666666668,0.6666666666666666,1.0,5.333333333333333,0.3333333333333333,18.333333333333332
09/27/2013,Holy Names,3-1,4.0,0,51.0,19.0,124.0,0.258,49.0,6.0,9.0,53.0,5.0,2.0,14.0,2.0,66.0,0.0,Holy Names,4,12.75,4.75,31.0,12.25,1.5,2.25,13.25,1.25,0.5,3.5,0.5,16.5
10/01/2013,@ Azusa Pacific,3-1,4.0,0,53.0,17.0,158.0,0.228,48.0,7.0,6.0,72.0,6.0,6.0,16.0,2.0,74.0,2.0,Azusa Pacific,4,13.25,4.25,39.5,12.0,1.75,1.5,18.0,1.5,1.5,4.0,0.5,18.5
