date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/01/2017,@ USC Upstate,0-3,3.0,0,39.0,21.0,115.0,0.157,35.0,6.0,5.0,48.0,5.0,1.0,10.0,1.0,51.0,0.0,USC Upstate,3,13.0,7.0,38.333333333333336,11.666666666666666,2.0,1.6666666666666667,16.0,0.3333333333333333,3.3333333333333335,0.3333333333333333,17.0
10/06/2017,Lipscomb,0-3,3.0,0,32.0,9.0,100.0,0.23,30.0,2.0,7.0,45.0,9.0,1.0,10.0,1.0,40.0,1.0,Lipscomb,3,10.666666666666666,3.0,33.333333333333336,10.0,0.6666666666666666,2.3333333333333335,15.0,0.3333333333333333,3.3333333333333335,0.3333333333333333,13.333333333333334
10/07/2017,Kennesaw St.,1-3,4.0,0,42.0,18.0,135.0,0.178,39.0,3.0,8.0,66.0,9.0,2.0,10.0,1.0,52.0,5.0,Kennesaw St.,4,10.5,4.5,33.75,9.75,0.75,2.0,16.5,0.5,2.5,0.25,13.0
10/10/2017,@ Bethune-Cookman,1-3,4.0,0,52.0,26.0,149.0,0.174,50.0,4.0,10.0,61.0,4.0,3.0,12.0,0.0,65.0,2.0,Bethune-Cookman,4,13.0,6.5,37.25,12.5,1.0,2.5,15.25,0.75,3.0,0.0,16.25
10/13/2017,@ Stetson,3-2,5.0,0,69.0,24.0,182.0,0.247,68.0,5.0,12.0,90.0,9.0,3.0,14.0,2.0,84.0,1.0,Stetson,5,13.8,4.8,36.4,13.6,1.0,2.4,18.0,0.6,2.8,0.4,16.8
10/14/2017,@ FGCU,0-3,3.0,0,30.0,20.0,102.0,0.098,26.0,4.0,9.0,36.0,4.0,0.0,6.0,0.0,37.0,3.0,FGCU,3,10.0,6.666666666666667,34.0,8.666666666666666,1.3333333333333333,3.0,12.0,0.0,2.0,0.0,12.333333333333334
10/16/2017,Ga. Southern,3-0,3.0,0,44.0,14.0,94.0,0.319,41.0,6.0,7.0,39.0,1.0,2.0,8.0,1.0,56.0,0.0,Ga. Southern,3,14.666666666666666,4.666666666666667,31.333333333333332,13.666666666666666,2.0,2.3333333333333335,13.0,0.6666666666666666,2.6666666666666665,0.3333333333333333,18.666666666666668
10/20/2017,@ Jacksonville,0-3,3.0,0,37.0,19.0,130.0,0.138,33.0,3.0,4.0,47.0,2.0,0.0,2.0,1.0,41.0,0.0,Jacksonville,3,12.333333333333334,6.333333333333333,43.333333333333336,11.0,1.0,1.3333333333333333,15.666666666666666,0.0,0.6666666666666666,0.3333333333333333,13.666666666666666
10/27/2017,FGCU,3-2,5.0,0,61.0,29.0,190.0,0.168,58.0,5.0,12.0,88.0,2.0,4.0,22.0,2.0,81.0,1.0,FGCU,5,12.2,5.8,38.0,11.6,1.0,2.4,17.6,0.8,4.4,0.4,16.2
10/28/2017,Stetson,3-0,3.0,0,50.0,19.0,115.0,0.27,46.0,9.0,6.0,42.0,2.0,0.0,8.0,0.0,63.0,0.0,Stetson,3,16.666666666666668,6.333333333333333,38.333333333333336,15.333333333333334,3.0,2.0,14.0,0.0,2.6666666666666665,0.0,21.0
11/03/2017,@ Kennesaw St.,0-3,3.0,0,29.0,22.0,119.0,0.059,28.0,6.0,7.0,48.0,1.0,4.0,6.0,4.0,42.0,2.0,Kennesaw St.,3,9.666666666666666,7.333333333333333,39.666666666666664,9.333333333333334,2.0,2.3333333333333335,16.0,1.3333333333333333,2.0,1.3333333333333333,14.0
11/04/2017,@ Lipscomb,0-3,3.0,0,34.0,20.0,114.0,0.123,33.0,4.0,3.0,43.0,1.0,0.0,16.0,2.0,46.0,0.0,Lipscomb,3,11.333333333333334,6.666666666666667,38.0,11.0,1.3333333333333333,1.0,14.333333333333334,0.0,5.333333333333333,0.6666666666666666,15.333333333333334
11/10/2017,USC Upstate,3-0,3.0,0,52.0,17.0,128.0,0.273,46.0,5.0,8.0,61.0,1.0,3.0,8.0,1.0,64.0,2.0,USC Upstate,3,17.333333333333332,5.666666666666667,42.666666666666664,15.333333333333334,1.6666666666666667,2.6666666666666665,20.333333333333332,1.0,2.6666666666666665,0.3333333333333333,21.333333333333332
11/11/2017,NJIT,3-0,3.0,0,36.0,10.0,85.0,0.306,33.0,6.0,7.0,42.0,0.0,0.0,20.0,0.0,52.0,0.0,NJIT,3,12.0,3.3333333333333335,28.333333333333332,11.0,2.0,2.3333333333333335,14.0,0.0,6.666666666666667,0.0,17.333333333333332
11/16/2017,@ Lipscomb,0-3,3.0,0,23.0,21.0,97.0,0.021,22.0,0.0,5.0,34.0,2.0,0.0,14.0,5.0,30.0,2.0,Lipscomb,3,7.666666666666667,7.0,32.333333333333336,7.333333333333333,0.0,1.6666666666666667,11.333333333333334,0.0,4.666666666666667,1.6666666666666667,10.0
