date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
01/26/2021,Fla. Atlantic,3-1,4.0,0,51.0,13.0,106.0,0.358,47.0,7.0,8.0,46.0,0.0,0.0,24.0,1.0,12.0,70.0,4.0,Fla. Atlantic,4,12.75,3.25,26.5,11.75,1.75,2.0,11.5,0.0,0.0,6.0,0.25,17.5
01/30/2021,North Florida,3-0,3.0,0,43.0,8.0,98.0,0.357,40.0,1.0,8.0,39.0,2.0,5.0,16.0,0.0,13.0,57.0,3.0,North Florida,3,14.333333333333334,2.6666666666666665,32.666666666666664,13.333333333333334,0.3333333333333333,2.6666666666666665,13.0,0.6666666666666666,1.6666666666666667,5.333333333333333,0.0,19.0
01/31/2021,North Florida,3-0,3.0,0,38.0,7.0,96.0,0.323,34.0,6.0,6.0,34.0,4.0,2.0,12.0,0.0,8.0,52.0,1.0,North Florida,3,12.666666666666666,2.3333333333333335,32.0,11.333333333333334,2.0,2.0,11.333333333333334,1.3333333333333333,0.6666666666666666,4.0,0.0,17.333333333333332
02/05/2021,Tulane,3-1,4.0,0,56.0,19.0,129.0,0.287,49.0,9.0,6.0,49.0,1.0,1.0,14.0,0.0,8.0,73.0,5.0,Tulane,4,14.0,4.75,32.25,12.25,2.25,1.5,12.25,0.25,0.25,3.5,0.0,18.25
02/06/2021,Tulane,3-1,4.0,0,58.0,19.0,153.0,0.255,55.0,10.0,6.0,59.0,1.0,2.0,20.0,1.0,12.0,80.0,4.0,Tulane,4,14.5,4.75,38.25,13.75,2.5,1.5,14.75,0.25,0.5,5.0,0.25,20.0
02/09/2021,@ Jacksonville,3-0,3.0,0,40.0,21.0,111.0,0.171,38.0,8.0,4.0,56.0,1.0,2.0,18.0,0.0,11.0,59.0,0.0,Jacksonville,3,13.333333333333334,7.0,37.0,12.666666666666666,2.6666666666666665,1.3333333333333333,18.666666666666668,0.3333333333333333,0.6666666666666666,6.0,0.0,19.666666666666668
02/18/2021,@ Temple,3-0,3.0,0,44.0,19.0,144.0,0.174,41.0,5.0,2.0,60.0,4.0,1.0,24.0,2.0,13.0,62.0,0.0,Temple,3,14.666666666666666,6.333333333333333,48.0,13.666666666666666,1.6666666666666667,0.6666666666666666,20.0,1.3333333333333333,0.3333333333333333,8.0,0.6666666666666666,20.666666666666668
02/19/2021,@ Temple,3-0,3.0,0,39.0,17.0,103.0,0.214,35.0,11.0,3.0,46.0,0.0,2.0,17.0,1.0,10.5,60.5,1.0,Temple,3,13.0,5.666666666666667,34.333333333333336,11.666666666666666,3.6666666666666665,1.0,15.333333333333334,0.0,0.6666666666666666,5.666666666666667,0.3333333333333333,20.166666666666668
02/26/2021,@ Florida St.,2-3,5.0,0,56.0,28.0,180.0,0.156,54.0,9.0,9.0,59.0,10.0,2.0,14.0,0.0,9.0,74.0,2.0,Florida St.,5,11.2,5.6,36.0,10.8,1.8,1.8,11.8,2.0,0.4,2.8,0.0,14.8
03/05/2021,East Carolina,3-0,3.0,0,48.0,18.0,120.0,0.25,43.0,9.0,5.0,66.0,3.0,1.0,10.0,0.0,6.0,63.0,2.0,East Carolina,3,16.0,6.0,40.0,14.333333333333334,3.0,1.6666666666666667,22.0,1.0,0.3333333333333333,3.3333333333333335,0.0,21.0
03/06/2021,East Carolina,3-1,4.0,0,64.0,22.0,161.0,0.261,60.0,6.0,8.0,72.0,4.0,2.0,12.0,0.0,8.0,78.0,0.0,East Carolina,4,16.0,5.5,40.25,15.0,1.5,2.0,18.0,1.0,0.5,3.0,0.0,19.5
03/12/2021,@ Cincinnati,3-0,3.0,0,42.0,5.0,87.0,0.425,38.0,5.0,6.0,42.0,7.0,0.0,12.0,1.0,6.0,53.0,1.0,Cincinnati,3,14.0,1.6666666666666667,29.0,12.666666666666666,1.6666666666666667,2.0,14.0,2.333333333333333,0.0,4.0,0.3333333333333333,17.666666666666668
03/13/2021,@ Cincinnati,3-0,3.0,0,37.0,14.0,93.0,0.247,36.0,3.0,5.0,45.0,3.0,1.0,28.0,0.0,15.0,55.0,1.0,Cincinnati,3,12.333333333333334,4.666666666666667,31.0,12.0,1.0,1.6666666666666667,15.0,1.0,0.3333333333333333,9.333333333333334,0.0,18.333333333333332
03/26/2021,South Fla.,3-0,3.0,0,35.0,7.0,79.0,0.354,32.0,6.0,7.0,30.0,4.0,2.0,18.0,0.0,11.0,52.0,1.0,South Fla.,3,11.666666666666666,2.3333333333333335,26.333333333333332,10.666666666666666,2.0,2.3333333333333335,10.0,1.3333333333333333,0.6666666666666666,6.0,0.0,17.333333333333332
