date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/25/2023,"Denver @ Isla Vista, CA",3-1,4.0,51.0,17.0,116.0,0.293,47.0,7.0,4.0,48.0,67.0,6.0,2.0,8.0,3.0,64.0,0.0
08/26/2023,"New Mexico St. @ Isla Vista, CA",0-3,3.0,42.0,19.0,115.0,0.2,36.0,4.0,4.0,45.0,65.0,5.0,0.0,2.0,0.0,47.0,1.0
08/27/2023,@ UC Santa Barbara,0-3,3.0,32.0,16.0,82.0,0.195,31.0,2.0,13.0,27.0,61.0,9.0,0.0,6.0,0.0,37.0,0.0
09/01/2023,"Georgia @ Conway, SC",0-3,3.0,37.0,19.0,98.0,0.184,35.0,3.0,10.0,40.0,60.0,4.0,4.0,2.0,0.0,45.0,1.0
09/01/2023,@ Coastal Carolina,3-0,3.0,40.0,15.0,102.0,0.245,36.0,3.0,6.0,43.0,46.0,2.0,4.0,6.0,0.0,50.0,1.0
09/02/2023,"TCU @ Conway, SC",1-3,4.0,34.0,30.0,142.0,0.028,33.0,1.0,6.0,55.0,78.0,3.0,3.0,8.0,1.0,42.0,0.0
09/08/2023,Texas Southern,3-0,3.0,49.0,11.0,92.0,0.413,46.0,5.0,7.0,39.0,41.0,2.0,1.0,8.0,0.0,59.0,2.0
09/08/2023,Louisiana,3-2,5.0,68.0,25.0,165.0,0.261,66.0,12.0,8.0,72.0,89.0,6.0,4.0,4.0,1.0,86.0,1.0
09/09/2023,Charlotte,3-2,5.0,69.0,29.0,177.0,0.226,67.0,6.0,10.0,80.0,87.0,8.0,0.0,8.0,1.0,79.0,1.0
09/15/2023,Alabama A&M,3-0,3.0,38.0,15.0,85.0,0.271,35.0,4.0,5.0,45.0,42.0,4.0,1.0,10.0,0.0,48.0,2.0
09/15/2023,South Fla.,1-3,4.0,54.0,24.0,152.0,0.197,50.0,8.0,8.0,60.0,83.0,8.0,1.0,8.0,1.0,67.0,1.0
09/16/2023,USC Upstate,2-3,5.0,62.0,24.0,149.0,0.255,60.0,7.0,6.0,50.0,98.0,14.0,2.0,11.0,3.0,76.5,1.0
09/19/2023,@ Florida St.,0-3,3.0,32.0,15.0,82.0,0.207,30.0,5.0,5.0,28.0,64.0,8.0,0.0,6.0,1.0,40.0,1.0
09/22/2023,@ Stetson,2-3,5.0,70.0,32.0,200.0,0.19,64.0,6.0,5.0,95.0,96.0,5.0,3.0,12.0,3.0,85.0,3.0
09/23/2023,@ FGCU,2-3,5.0,55.0,29.0,171.0,0.152,50.0,10.0,8.0,78.0,93.0,6.0,1.0,14.0,3.0,73.0,0.0
09/26/2023,Jacksonville,3-1,4.0,52.0,31.0,145.0,0.145,47.0,3.0,9.0,59.0,77.0,7.0,2.0,12.0,2.0,63.0,0.0
09/30/2023,@ Lipscomb,0-3,3.0,28.0,18.0,90.0,0.111,27.0,3.0,6.0,37.0,63.0,6.0,0.0,8.0,0.0,35.0,2.0
10/03/2023,@ Florida A&M,3-1,4.0,60.0,20.0,143.0,0.28,52.0,12.0,4.0,64.0,72.0,10.0,1.0,10.0,0.0,78.0,2.0
10/06/2023,Kennesaw St.,3-0,3.0,42.0,13.0,87.0,0.333,38.0,7.0,5.0,40.0,48.0,6.0,1.0,4.0,0.0,52.0,0.0
10/07/2023,Queens (NC),3-0,3.0,46.0,9.0,93.0,0.398,45.0,4.0,1.0,58.0,31.0,3.0,1.0,11.0,0.0,56.5,1.0
10/13/2023,Eastern Ky.,3-1,4.0,52.0,13.0,128.0,0.305,50.0,12.0,6.0,56.0,75.0,7.0,2.0,14.0,0.0,73.0,2.0
10/14/2023,Bellarmine,2-3,5.0,51.0,24.0,151.0,0.179,47.0,12.0,2.0,74.0,90.0,10.0,1.0,8.0,4.0,68.0,5.0
10/20/2023,@ North Ala.,1-3,4.0,49.0,31.0,148.0,0.122,43.0,4.0,3.0,62.0,89.0,7.0,1.0,12.0,0.0,60.0,1.0
10/22/2023,@ Central Ark.,3-1,4.0,50.0,19.0,136.0,0.228,39.0,14.0,4.0,70.0,79.0,4.0,1.0,22.0,2.0,76.0,0.0
10/27/2023,@ Queens (NC),3-2,5.0,56.0,22.0,164.0,0.207,53.0,9.0,2.0,84.0,81.0,10.0,1.0,25.0,4.0,78.5,1.0
10/29/2023,@ Kennesaw St.,0-3,3.0,35.0,15.0,91.0,0.22,32.0,7.0,4.0,29.0,67.0,8.0,0.0,12.0,1.0,48.0,1.0
11/01/2023,@ Jacksonville,3-0,3.0,47.0,10.0,96.0,0.385,43.0,3.0,9.0,36.0,54.0,7.0,6.0,4.0,0.0,58.0,0.0
11/04/2023,Austin Peay,3-0,3.0,44.0,19.0,120.0,0.208,41.0,10.0,6.0,59.0,61.0,2.0,2.0,4.0,0.0,58.0,0.0
11/10/2023,FGCU,2-3,5.0,58.0,27.0,173.0,0.179,54.0,10.0,8.0,84.0,96.0,10.0,2.0,12.0,0.0,76.0,4.0
11/11/2023,Stetson,3-0,3.0,49.0,16.0,134.0,0.246,46.0,4.0,4.0,52.0,63.0,2.0,1.0,18.0,0.0,63.0,1.0
11/16/2023,"Eastern Ky. @ Fort Myers, FL",3-1,4.0,58.0,21.0,169.0,0.219,56.0,6.0,4.0,72.0,85.0,5.0,3.0,24.0,1.0,79.0,0.0
11/17/2023,"Lipscomb @ Fort Myers, FL",2-3,5.0,48.0,23.0,130.0,0.192,45.0,8.0,5.0,53.0,86.0,9.0,1.0,27.0,3.0,70.5,2.0
