date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/25/2023,Cleveland St.,0-3,3.0,26.0,22.0,100.0,0.04,23.0,0.0,6.0,45.0,63.0,4.0,0.0,0.0,0.0,26.0,3.0
08/26/2023,Murray St.,1-3,4.0,44.0,14.0,130.0,0.231,40.0,7.0,8.0,56.0,82.0,8.0,0.0,18.0,0.0,60.0,0.0
09/01/2023,@ Valparaiso,0-3,3.0,28.0,22.0,112.0,0.054,25.0,2.0,9.0,52.0,64.0,4.0,1.0,6.0,1.0,34.0,0.0
09/02/2023,"Oakland @ Valparaiso, IN",1-3,4.0,46.0,26.0,162.0,0.123,42.0,6.0,6.0,74.0,89.0,4.0,2.0,8.0,1.0,58.0,0.0
09/02/2023,"Eastern Mich. @ Valparaiso, IN",2-3,5.0,57.0,23.0,161.0,0.211,53.0,5.0,9.0,77.0,86.0,7.0,0.0,8.0,2.0,66.0,0.0
09/08/2023,"Milwaukee @ Edwardsville, IL",2-3,5.0,61.0,24.0,191.0,0.194,56.0,6.0,5.0,83.0,106.0,5.0,0.0,12.0,4.0,73.0,0.0
09/09/2023,"Idaho @ Edwardsville, IL",3-1,4.0,49.0,20.0,161.0,0.18,44.0,8.0,7.0,98.0,65.0,5.0,1.0,26.0,1.0,71.0,2.0
09/09/2023,@ SIUE,3-2,5.0,58.0,18.0,160.0,0.25,54.0,3.0,9.0,70.0,93.0,4.0,2.0,24.0,1.0,75.0,0.0
09/15/2023,"Arkansas St. @ Springfield, MO",1-3,4.0,32.0,18.0,126.0,0.111,32.0,6.0,11.0,49.0,89.0,8.0,4.0,12.0,1.0,48.0,0.0
09/15/2023,@ Missouri St.,2-3,5.0,64.0,24.0,190.0,0.211,63.0,3.0,12.0,102.0,97.0,8.0,4.0,18.0,3.0,80.0,0.0
09/20/2023,@ Lindenwood,0-3,3.0,30.0,14.0,113.0,0.142,26.0,4.0,7.0,43.0,68.0,9.0,3.0,6.0,3.0,40.0,0.0
09/29/2023,@ Morehead St.,3-2,5.0,60.0,17.0,200.0,0.215,51.0,5.0,2.0,94.0,101.0,5.0,3.0,20.0,2.0,78.0,0.0
09/30/2023,@ Morehead St.,0-3,3.0,25.0,20.0,107.0,0.047,24.0,2.0,2.0,61.0,63.0,6.0,2.0,4.0,4.0,31.0,1.0
10/03/2023,Chicago St.,0-3,3.0,29.0,16.0,102.0,0.127,24.0,2.0,4.0,41.0,69.0,6.0,3.0,2.0,0.0,35.0,2.0
10/06/2023,Little Rock,3-1,4.0,54.0,16.0,146.0,0.26,44.0,6.0,10.0,71.0,79.0,7.0,4.0,16.0,0.0,72.0,0.0
10/07/2023,Little Rock,3-2,5.0,51.0,21.0,173.0,0.173,42.0,9.0,9.0,90.0,79.0,3.0,0.0,16.0,0.0,68.0,1.0
10/13/2023,@ UT Martin,3-0,3.0,31.0,11.0,108.0,0.185,28.0,3.0,7.0,64.0,54.0,5.0,5.0,18.0,1.0,48.0,1.0
10/14/2023,@ UT Martin,1-3,4.0,40.0,21.0,156.0,0.122,38.0,1.0,7.0,80.0,87.0,8.0,2.0,20.0,2.0,53.0,1.0
10/17/2023,@ Chicago St.,0-3,3.0,18.0,15.0,94.0,0.032,18.0,4.0,4.0,33.0,67.0,3.0,0.0,10.0,0.0,27.0,4.0
10/20/2023,Southern Ind.,1-3,4.0,52.0,12.0,158.0,0.253,48.0,13.0,6.0,74.0,88.0,8.0,3.0,17.0,0.0,76.5,0.0
10/21/2023,Southern Ind.,3-2,5.0,60.0,26.0,192.0,0.177,57.0,4.0,3.0,91.0,95.0,5.0,0.0,12.0,0.0,70.0,0.0
10/26/2023,Tennessee Tech,1-3,4.0,53.0,12.0,147.0,0.279,50.0,7.0,9.0,77.0,82.0,5.0,1.0,8.0,0.0,65.0,0.0
10/27/2023,Tennessee Tech,1-3,4.0,53.0,15.0,155.0,0.245,49.0,3.0,6.0,59.0,86.0,7.0,4.0,8.0,0.0,64.0,1.0
11/03/2023,@ Southeast Mo. St.,2-3,5.0,62.0,18.0,181.0,0.243,59.0,4.0,1.0,96.0,99.0,7.0,7.0,12.0,0.0,79.0,0.0
11/04/2023,@ Southeast Mo. St.,1-3,4.0,40.0,16.0,172.0,0.14,32.0,8.0,6.0,85.0,83.0,5.0,4.0,18.0,1.0,61.0,0.0
11/10/2023,Tennessee St.,3-0,3.0,40.0,13.0,103.0,0.262,37.0,5.0,7.0,41.0,52.0,2.0,4.0,0.0,0.0,49.0,0.0
11/11/2023,Tennessee St.,3-1,4.0,49.0,19.0,155.0,0.194,44.0,14.0,6.0,60.0,85.0,3.0,1.0,18.0,0.0,73.0,0.0
11/15/2023,@ Eastern Ill.,1-3,4.0,43.0,15.0,137.0,0.204,41.0,6.0,8.0,58.0,79.0,7.0,4.0,16.0,1.0,61.0,1.0
11/16/2023,@ Eastern Ill.,2-3,5.0,52.0,20.0,173.0,0.185,51.0,9.0,5.0,79.0,100.0,6.0,3.0,13.0,4.0,70.5,1.0
11/20/2023,"Southeast Mo. St. @ Charleston, IL",2-3,5.0,58.0,26.0,188.0,0.17,56.0,2.0,8.0,87.0,97.0,7.0,1.0,16.0,4.0,69.0,0.0
