date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/25/2023,"Saint Peter's @ Binghamton, NY",3-0,3.0,44.0,13.0,100.0,0.31,42.0,8.0,4.0,52.0,47.0,7.0,0.0,8.0,0.0,56.0,2.0
08/26/2023,@ Binghamton,1-3,4.0,52.0,28.0,142.0,0.169,50.0,5.0,11.0,54.0,89.0,8.0,0.0,12.0,0.0,63.0,1.0
08/26/2023,"Merrimack @ Binghamton, NY",3-0,3.0,40.0,13.0,83.0,0.325,34.0,6.0,6.0,33.0,45.0,3.0,1.0,10.0,0.0,52.0,1.0
09/01/2023,Canisius,3-1,4.0,66.0,24.0,163.0,0.258,62.0,8.0,10.0,67.0,77.0,5.0,0.0,12.0,1.0,80.0,1.0
09/01/2023,Canisius,3-2,5.0,66.0,24.0,187.0,0.225,60.0,8.0,10.0,86.0,92.0,14.0,2.0,18.0,2.0,85.0,1.0
09/02/2023,@ Robert Morris,3-1,4.0,66.0,14.0,154.0,0.338,62.0,3.0,6.0,60.0,83.0,6.0,3.0,14.0,1.0,79.0,0.0
09/15/2023,"East Carolina @ Blacksburg, VA",0-3,3.0,23.0,22.0,102.0,0.01,22.0,3.0,4.0,43.0,66.0,5.0,1.0,6.0,1.0,30.0,3.0
09/16/2023,"Queens (NC) @ Blacksburg, VA",0-3,3.0,35.0,14.0,121.0,0.174,33.0,4.0,7.0,59.0,69.0,10.0,1.0,10.0,2.0,45.0,0.0
09/22/2023,@ Fordham,2-3,5.0,59.0,30.0,179.0,0.162,57.0,14.0,9.0,61.0,99.0,8.0,0.0,22.0,4.0,84.0,0.0
09/23/2023,@ Fordham,3-0,3.0,50.0,17.0,123.0,0.268,45.0,4.0,7.0,55.0,60.0,4.0,1.0,14.0,1.0,62.0,1.0
09/29/2023,@ VCU,1-3,4.0,48.0,28.0,168.0,0.119,43.0,3.0,7.0,78.0,94.0,9.0,2.0,18.0,0.0,62.0,2.0
09/30/2023,@ VCU,1-3,4.0,52.0,25.0,160.0,0.169,50.0,1.0,8.0,78.0,84.0,2.0,2.0,8.0,1.0,59.0,1.0
10/03/2023,Dayton,0-3,3.0,31.0,18.0,107.0,0.121,31.0,2.0,5.0,44.0,71.0,6.0,2.0,14.0,0.0,42.0,0.0
10/06/2023,Saint Louis,3-2,5.0,63.0,23.0,159.0,0.252,60.0,13.0,9.0,62.0,91.0,9.0,2.0,12.0,0.0,84.0,0.0
10/07/2023,Saint Louis,3-2,5.0,53.0,31.0,152.0,0.145,50.0,7.0,5.0,59.0,98.0,7.0,5.0,18.0,0.0,74.0,2.0
10/13/2023,@ George Washington,2-3,5.0,58.0,24.0,178.0,0.191,50.0,5.0,5.0,77.0,95.0,8.0,2.0,22.0,0.0,76.0,4.0
10/14/2023,@ George Washington,3-0,3.0,46.0,14.0,99.0,0.323,44.0,6.0,2.0,48.0,52.0,5.0,0.0,16.0,2.0,60.0,1.0
10/20/2023,Rhode Island,3-1,4.0,58.0,19.0,136.0,0.287,54.0,11.0,5.0,68.0,79.0,13.0,2.0,20.0,2.0,81.0,0.0
10/21/2023,Rhode Island,0-3,3.0,31.0,22.0,118.0,0.076,31.0,6.0,4.0,45.0,69.0,5.0,2.0,14.0,0.0,46.0,0.0
10/24/2023,@ Dayton,0-3,3.0,25.0,21.0,95.0,0.042,24.0,5.0,2.0,39.0,68.0,10.0,0.0,2.0,0.0,31.0,2.0
10/27/2023,@ Loyola Chicago,0-3,3.0,41.0,19.0,124.0,0.177,40.0,2.0,6.0,53.0,72.0,4.0,2.0,6.0,2.0,48.0,0.0
10/28/2023,@ Loyola Chicago,2-3,5.0,48.0,21.0,154.0,0.175,46.0,7.0,6.0,62.0,100.0,9.0,2.0,18.0,0.0,66.0,1.0
11/03/2023,George Mason,3-1,4.0,54.0,15.0,130.0,0.3,49.0,8.0,8.0,58.0,71.0,3.0,0.0,10.0,2.0,67.0,0.0
11/04/2023,George Mason,1-3,4.0,46.0,22.0,148.0,0.162,42.0,5.0,6.0,60.0,89.0,4.0,2.0,26.0,0.0,66.0,0.0
11/10/2023,Davidson,2-3,5.0,56.0,28.0,162.0,0.173,52.0,6.0,3.0,66.0,94.0,5.0,2.0,12.0,0.0,70.0,0.0
11/11/2023,Davidson,1-3,4.0,52.0,28.0,177.0,0.136,48.0,3.0,6.0,71.0,95.0,7.0,3.0,28.0,1.0,72.0,1.0
