date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/26/2023,"South Dakota @ Ames, IA",0-3,3.0,33.0,24.0,132.0,0.068,32.0,4.0,6.0,48.0,71.0,0.0,0.0,14.0,2.0,44.0,0.0
08/27/2023,@ Iowa St.,0-3,3.0,26.0,23.0,113.0,0.027,24.0,1.0,3.0,46.0,64.0,2.0,0.0,12.0,4.0,33.0,1.0
08/31/2023,@ Buffalo,0-3,3.0,36.0,21.0,125.0,0.12,36.0,1.0,4.0,47.0,70.0,2.0,3.0,8.0,0.0,44.0,2.0
09/01/2023,"Binghamton @ Buffalo, NY",3-1,4.0,55.0,20.0,152.0,0.23,51.0,3.0,2.0,73.0,70.0,5.0,2.0,24.0,0.0,72.0,1.0
09/02/2023,"Montana @ Buffalo, NY",3-1,4.0,63.0,19.0,149.0,0.295,59.0,3.0,5.0,76.0,75.0,5.0,5.0,10.0,0.0,76.0,0.0
09/07/2023,NIU,3-0,3.0,41.0,10.0,84.0,0.369,40.0,2.0,4.0,32.0,49.0,1.0,2.0,12.0,0.0,51.0,2.0
09/08/2023,St. Thomas (MN),3-0,3.0,47.0,17.0,112.0,0.268,42.0,1.0,6.0,44.0,62.0,6.0,1.0,14.0,0.0,56.0,1.0
09/09/2023,Evansville,3-0,3.0,53.0,13.0,129.0,0.31,51.0,5.0,3.0,56.0,71.0,5.0,0.0,12.0,0.0,64.0,1.0
09/12/2023,@ Milwaukee,0-3,3.0,34.0,19.0,104.0,0.144,32.0,2.0,2.0,48.0,71.0,5.0,1.0,14.0,2.0,44.0,2.0
09/15/2023,@ Loyola Chicago,3-0,3.0,39.0,14.0,108.0,0.231,36.0,3.0,4.0,45.0,61.0,4.0,3.0,20.0,0.0,55.0,2.0
09/16/2023,UIC,3-1,4.0,48.0,23.0,123.0,0.203,46.0,5.0,4.0,42.0,76.0,2.0,1.0,20.0,0.0,64.0,2.0
09/22/2023,Georgetown,0-3,3.0,30.0,21.0,118.0,0.076,29.0,4.0,4.0,51.0,69.0,5.0,0.0,4.0,2.0,36.0,1.0
09/23/2023,Villanova,3-2,5.0,67.0,24.0,167.0,0.257,63.0,6.0,7.0,76.0,96.0,11.0,2.0,24.0,3.0,87.0,1.0
09/30/2023,@ Providence,3-0,3.0,47.0,17.0,134.0,0.224,45.0,5.0,4.0,73.0,53.0,3.0,0.0,8.0,0.0,56.0,1.0
10/01/2023,@ UConn,3-2,5.0,64.0,32.0,198.0,0.162,60.0,4.0,3.0,93.0,101.0,9.0,8.0,10.0,0.0,81.0,1.0
