date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/26/2023,American,2-3,5.0,63.0,23.0,182.0,0.22,57.0,8.0,22.0,72.0,97.0,5.0,5.0,20.0,11.0,86.0,2.0
08/26/2023,Georgetown,0-3,3.0,30.0,23.0,105.0,0.067,28.0,6.0,7.0,40.0,63.0,5.0,2.0,8.0,3.0,42.0,1.0
08/27/2023,Howard,2-3,5.0,54.0,33.0,169.0,0.124,46.0,7.0,8.0,73.0,92.0,5.0,3.0,14.0,9.0,71.0,1.0
09/01/2023,"NJIT @ South Orange, NJ",3-1,4.0,60.0,22.0,162.0,0.235,53.0,6.0,14.0,66.0,76.0,5.0,0.0,10.0,0.0,71.0,1.0
09/01/2023,@ Seton Hall,1-3,4.0,53.0,25.0,145.0,0.193,53.0,7.0,13.0,50.0,89.0,3.0,2.0,2.0,0.0,63.0,0.0
09/02/2023,"Saint Peter's @ South Orange, NJ",3-0,3.0,49.0,19.0,110.0,0.273,45.0,6.0,7.0,52.0,46.0,5.0,1.0,8.0,0.0,60.0,0.0
09/08/2023,Brown,1-3,4.0,58.0,23.0,163.0,0.215,56.0,3.0,14.0,73.0,91.0,6.0,0.0,16.0,10.0,69.0,1.0
09/08/2023,Robert Morris,3-0,3.0,47.0,12.0,98.0,0.357,45.0,3.0,5.0,48.0,52.0,2.0,2.0,8.0,8.0,56.0,1.0
09/09/2023,Radford,3-0,3.0,43.0,11.0,121.0,0.264,42.0,6.0,8.0,47.0,53.0,4.0,1.0,8.0,0.0,54.0,1.0
09/15/2023,Middle Tenn.,2-3,5.0,66.0,17.0,129.0,0.38,64.0,7.0,12.0,40.0,90.0,9.0,0.0,12.0,2.0,79.0,0.0
09/15/2023,UAlbany,1-3,4.0,52.0,21.0,130.0,0.238,49.0,7.0,9.0,51.0,83.0,6.0,2.0,20.0,2.0,71.0,1.0
09/16/2023,Seattle U,2-3,5.0,59.0,30.0,152.0,0.191,56.0,9.0,8.0,70.0,87.0,6.0,3.0,14.0,1.0,78.0,1.0
09/22/2023,@ Rhode Island,3-1,4.0,48.0,22.0,119.0,0.218,45.0,13.0,12.0,51.0,62.0,5.0,1.0,10.0,1.0,67.0,0.0
09/23/2023,@ Rhode Island,3-1,4.0,44.0,23.0,133.0,0.158,40.0,18.0,11.0,52.0,76.0,6.0,1.0,10.0,3.0,68.0,0.0
09/29/2023,Saint Louis,2-3,5.0,51.0,27.0,152.0,0.158,47.0,4.0,18.0,56.0,90.0,6.0,1.0,24.0,3.0,68.0,1.0
09/30/2023,Saint Louis,0-3,3.0,33.0,19.0,110.0,0.127,30.0,6.0,8.0,41.0,68.0,8.0,0.0,10.0,2.0,44.0,1.0
10/04/2023,@ George Washington,2-3,5.0,69.0,28.0,161.0,0.255,66.0,8.0,14.0,63.0,94.0,6.0,1.0,16.0,2.0,86.0,2.0
10/06/2023,@ Dayton,0-3,3.0,23.0,26.0,101.0,-0.03,23.0,2.0,2.0,41.0,67.0,10.0,0.0,6.0,0.0,28.0,2.0
10/07/2023,@ Dayton,0-3,3.0,30.0,20.0,94.0,0.106,29.0,1.0,9.0,37.0,68.0,8.0,0.0,4.0,0.0,33.0,0.0
10/13/2023,Loyola Chicago,0-3,3.0,21.0,19.0,78.0,0.026,20.0,1.0,9.0,30.0,64.0,3.0,2.0,4.0,0.0,26.0,1.0
10/14/2023,Loyola Chicago,1-3,4.0,47.0,21.0,135.0,0.193,39.0,1.0,9.0,46.0,83.0,7.0,4.0,10.0,5.0,57.0,2.0
10/20/2023,Davidson,0-3,3.0,22.0,30.0,115.0,-0.07,21.0,2.0,4.0,39.0,71.0,1.0,0.0,4.0,0.0,26.0,0.0
10/21/2023,Davidson,1-3,4.0,49.0,26.0,141.0,0.163,46.0,4.0,10.0,52.0,90.0,9.0,4.0,6.0,0.0,60.0,0.0
10/25/2023,George Washington,3-0,3.0,39.0,11.0,93.0,0.301,36.0,3.0,13.0,51.0,43.0,2.0,2.0,22.0,0.0,55.0,1.0
10/28/2023,@ VCU,2-3,5.0,53.0,33.0,174.0,0.115,49.0,7.0,7.0,71.0,102.0,5.0,1.0,18.0,4.0,70.0,0.0
10/29/2023,@ VCU,0-3,3.0,26.0,20.0,92.0,0.065,25.0,5.0,7.0,34.0,63.0,7.0,0.0,8.0,1.0,35.0,0.0
11/03/2023,@ Duquesne,1-3,4.0,55.0,21.0,147.0,0.231,53.0,3.0,12.0,56.0,91.0,8.0,1.0,4.0,3.0,61.0,3.0
11/04/2023,@ Duquesne,3-1,4.0,62.0,30.0,165.0,0.194,58.0,4.0,4.0,71.0,83.0,5.0,2.0,14.0,1.0,75.0,1.0
11/10/2023,Fordham,1-3,4.0,57.0,28.0,174.0,0.167,54.0,4.0,12.0,72.0,98.0,5.0,5.0,12.0,0.0,72.0,2.0
11/11/2023,Fordham,3-0,3.0,51.0,14.0,128.0,0.289,49.0,4.0,8.0,65.0,63.0,5.0,1.0,8.0,0.0,60.0,1.0
