date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/25/2023,Loyola Maryland,3-1,4.0,47.0,16.0,108.0,0.287,42.0,10.0,10.0,48.0,63.0,1.0,0.0,30.0,1.0,72.0,1.0
08/26/2023,Niagara,3-0,3.0,41.0,13.0,88.0,0.318,38.0,3.0,8.0,47.0,51.0,3.0,1.0,12.0,3.0,51.0,0.0
08/27/2023,Robert Morris,3-1,4.0,55.0,14.0,131.0,0.313,47.0,10.0,10.0,65.0,67.0,4.0,3.0,21.0,4.0,78.5,1.0
09/01/2023,"Tarleton St. @ San Antonio, TX",3-2,5.0,67.0,20.0,169.0,0.278,58.0,5.0,12.0,67.0,89.0,6.0,0.0,43.0,2.0,93.5,1.0
09/01/2023,@ UTSA,3-1,4.0,55.0,17.0,125.0,0.304,50.0,9.0,7.0,43.0,76.0,9.0,0.0,18.0,2.0,73.0,2.0
09/02/2023,"Lamar University @ San Antonio, TX",3-0,3.0,39.0,13.0,95.0,0.274,36.0,9.0,3.0,40.0,45.0,4.0,0.0,12.0,1.0,54.0,2.0
09/08/2023,Villanova,0-3,3.0,34.0,20.0,92.0,0.152,29.0,4.0,3.0,31.0,71.0,4.0,0.0,10.0,3.0,43.0,1.0
09/10/2023,Rider,3-1,4.0,50.0,12.0,113.0,0.336,37.0,9.0,9.0,50.0,53.0,4.0,0.0,18.0,2.0,68.0,1.0
09/16/2023,Campbell,3-1,4.0,50.0,20.0,119.0,0.252,45.0,5.0,8.0,54.0,69.0,3.0,3.0,10.0,2.0,63.0,0.0
09/17/2023,Campbell,1-3,4.0,42.0,24.0,151.0,0.119,37.0,6.0,8.0,77.0,92.0,12.0,1.0,18.0,3.0,58.0,4.0
09/22/2023,@ Towson,3-2,5.0,67.0,22.0,153.0,0.294,56.0,4.0,10.0,69.0,94.0,6.0,0.0,18.0,3.0,80.0,2.0
09/24/2023,@ Towson,2-3,5.0,51.0,15.0,149.0,0.242,47.0,4.0,7.0,65.0,96.0,4.0,1.0,16.0,5.0,64.0,1.0
09/30/2023,Col. of Charleston,1-3,4.0,54.0,27.0,161.0,0.168,48.0,4.0,10.0,67.0,92.0,3.0,0.0,14.0,0.0,65.0,0.0
10/01/2023,Col. of Charleston,3-2,5.0,59.0,25.0,158.0,0.215,56.0,14.0,9.0,74.0,87.0,4.0,1.0,18.0,0.0,83.0,0.0
10/07/2023,@ Northeastern,3-0,3.0,42.0,15.0,104.0,0.26,40.0,10.0,12.0,42.0,48.0,4.0,0.0,12.0,0.0,58.0,0.0
10/08/2023,@ Northeastern,3-0,3.0,47.0,14.0,103.0,0.32,42.0,8.0,9.0,48.0,60.0,2.0,0.0,12.0,4.0,61.0,0.0
10/14/2023,@ Stony Brook,3-0,3.0,34.0,9.0,95.0,0.263,32.0,9.0,10.0,46.0,55.0,8.0,1.0,22.0,1.0,55.0,0.0
10/15/2023,@ Stony Brook,3-1,4.0,53.0,8.0,125.0,0.36,50.0,8.0,11.0,56.0,65.0,10.0,4.0,24.0,2.0,77.0,0.0
10/21/2023,Hofstra,3-2,5.0,60.0,27.0,166.0,0.199,53.0,7.0,13.0,68.0,95.0,7.0,3.0,14.0,0.0,77.0,0.0
10/22/2023,Hofstra,3-0,3.0,37.0,15.0,107.0,0.206,33.0,13.0,4.0,53.0,57.0,4.0,2.0,14.0,0.0,59.0,0.0
10/28/2023,@ UNCW,3-2,5.0,54.0,27.0,140.0,0.193,50.0,10.0,13.0,61.0,81.0,4.0,5.0,6.0,0.0,72.0,0.0
10/29/2023,@ UNCW,3-1,4.0,50.0,21.0,116.0,0.25,45.0,10.0,7.0,47.0,72.0,7.0,1.0,10.0,1.0,66.0,0.0
11/04/2023,N.C. A&T,3-0,3.0,42.0,10.0,79.0,0.405,40.0,7.0,11.0,34.0,44.0,4.0,1.0,6.0,1.0,53.0,0.0
11/05/2023,N.C. A&T,3-0,3.0,39.0,15.0,93.0,0.258,35.0,5.0,10.0,37.0,49.0,6.0,1.0,18.0,0.0,54.0,0.0
11/11/2023,@ Elon,3-0,3.0,35.0,14.0,95.0,0.221,30.0,3.0,10.0,33.0,52.0,4.0,0.0,16.0,0.0,46.0,0.0
11/12/2023,@ Elon,3-1,4.0,53.0,17.0,126.0,0.286,51.0,8.0,8.0,48.0,82.0,2.0,1.0,18.0,1.0,71.0,0.0
11/17/2023,"Campbell @ Towson, MD",3-1,4.0,60.0,16.0,157.0,0.28,56.0,4.0,5.0,67.0,80.0,0.0,0.0,18.0,2.0,73.0,0.0
11/18/2023,@ Towson,3-1,4.0,61.0,15.0,165.0,0.279,52.0,4.0,4.0,73.0,79.0,0.0,0.0,15.0,0.0,72.5,0.0
12/01/2023,"Missouri @ Lincoln, NE",0-3,3.0,32.0,13.0,86.0,0.221,31.0,5.0,13.0,29.0,65.0,7.0,0.0,12.0,0.0,43.0,0.0
