date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe
08/26/2022,"SIUE @ Carbondale, IL",0-3,3.0,20.0,25.0,107.0,-0.047,18.0,1.0,6.0,44.0,67.0,2.0,0.0,10.0,2.0,5.0,26.0,1.0
08/27/2022,@ Southern Ill.,3-1,4.0,43.0,14.0,102.0,0.284,42.0,9.0,5.0,39.0,75.0,7.0,0.0,16.0,3.0,8.0,60.0,4.0
08/31/2022,@ Louisiana Tech,1-3,4.0,39.0,18.0,144.0,0.146,33.0,5.0,7.0,65.0,84.0,9.0,3.0,4.0,3.0,5.0,49.0,0.0
09/02/2022,@ North Ala.,1-3,4.0,51.0,31.0,194.0,0.103,47.0,7.0,6.0,96.0,91.0,4.0,0.0,2.0,1.0,1.0,59.0,3.0
09/02/2022,"New Orleans @ Florence, AL",3-2,5.0,66.0,34.0,204.0,0.157,61.0,9.0,13.0,95.0,92.0,6.0,2.0,12.0,1.0,8.0,83.0,2.0
09/03/2022,"Lamar University @ Florence, AL",1-3,4.0,43.0,26.0,145.0,0.117,38.0,5.0,8.0,53.0,90.0,5.0,2.0,16.0,3.0,10.0,58.0,1.0
09/09/2022,@ Middle Tenn.,0-3,3.0,33.0,21.0,95.0,0.126,30.0,2.0,10.0,33.0,63.0,3.0,0.0,4.0,4.0,2.0,37.0,1.0
09/09/2022,"UT Martin @ Murfreesboro, TN",0-3,3.0,33.0,17.0,100.0,0.16,28.0,0.0,4.0,41.0,68.0,7.0,2.0,4.0,2.0,4.0,37.0,2.0
09/10/2022,"Belmont @ Murfreesboro, TN",1-3,4.0,50.0,22.0,141.0,0.199,49.0,4.0,7.0,61.0,87.0,5.0,1.0,4.0,6.0,3.0,57.0,2.0
09/21/2022,Central Baptist,3-0,3.0,35.0,14.0,90.0,0.233,34.0,5.0,6.0,49.0,37.0,1.0,9.0,0.0,1.0,9.0,49.0,0.0
09/25/2022,@ Alcorn,3-0,3.0,35.0,14.0,96.0,0.219,32.0,11.0,5.0,51.0,0.0,5.0,2.0,14.0,1.0,9.0,55.0,0.0
09/26/2022,@ Southern U.,3-0,3.0,37.0,29.0,117.0,0.068,34.0,8.0,9.0,57.0,56.0,0.0,2.0,6.0,0.0,5.0,50.0,3.0
10/02/2022,Prairie View,3-0,3.0,37.0,16.0,102.0,0.206,33.0,4.0,6.0,41.0,51.0,2.0,7.0,6.0,0.0,10.0,51.0,1.0
10/03/2022,Texas Southern,3-0,3.0,49.0,17.0,119.0,0.269,45.0,6.0,4.0,61.0,54.0,4.0,3.0,10.0,1.0,8.0,63.0,3.0
10/09/2022,"Florida A&M @ Huntsville, AL",0-3,3.0,26.0,14.0,81.0,0.148,24.0,1.0,5.0,30.0,68.0,9.0,2.0,10.0,5.0,7.0,34.0,0.0
10/09/2022,@ Alabama A&M,3-2,5.0,60.0,33.0,191.0,0.141,55.0,13.0,10.0,83.0,94.0,7.0,2.0,14.0,2.0,9.0,82.0,1.0
10/10/2022,"Mississippi Val. @ Huntsville, AL",3-0,3.0,32.0,9.0,80.0,0.288,30.0,10.0,3.0,44.0,25.0,1.0,1.0,0.0,0.0,1.0,43.0,2.0
10/23/2022,Alcorn,3-0,3.0,39.0,17.0,95.0,0.232,34.0,9.0,8.0,46.0,48.0,6.0,8.0,4.0,2.0,10.0,58.0,0.0
10/24/2022,Southern U.,3-0,3.0,48.0,21.0,108.0,0.25,45.0,6.0,5.0,52.0,47.0,3.0,6.0,4.0,2.0,8.0,62.0,4.0
10/27/2022,@ Ark.-Pine Bluff,3-2,5.0,56.0,30.0,183.0,0.142,48.0,5.0,13.0,74.0,85.0,7.0,5.0,8.0,0.0,9.0,70.0,0.0
10/30/2022,"Alabama St. @ Prairie View, TX",2-3,5.0,72.0,37.0,209.0,0.167,71.0,5.0,11.0,85.0,109.0,4.0,1.0,12.0,0.0,7.0,84.0,1.0
10/30/2022,"Jackson St. @ Prairie View, TX",0-3,3.0,30.0,20.0,119.0,0.084,28.0,2.0,5.0,49.0,71.0,4.0,2.0,8.0,0.0,6.0,38.0,0.0
10/31/2022,"Bethune-Cookman @ Prairie View, TX",3-2,5.0,63.0,23.0,181.0,0.221,59.0,7.0,8.0,75.0,89.0,6.0,3.0,12.0,1.0,9.0,79.0,1.0
11/06/2022,@ Prairie View,3-0,3.0,39.0,12.0,106.0,0.255,36.0,6.0,6.0,55.0,46.0,0.0,2.0,11.0,0.0,7.5,52.5,3.0
11/07/2022,@ Texas Southern,2-3,5.0,51.0,23.0,187.0,0.15,42.0,7.0,7.0,81.0,97.0,7.0,8.0,4.0,0.0,10.0,68.0,0.0
11/10/2022,Ark.-Pine Bluff,3-1,4.0,59.0,24.0,198.0,0.177,45.0,11.0,7.0,81.0,95.0,5.0,7.0,2.0,0.0,8.0,78.0,0.0
11/18/2022,"Bethune-Cookman @ Houston, TX",2-3,5.0,64.0,33.0,215.0,0.144,63.0,11.0,10.0,105.0,95.0,3.0,2.0,8.0,0.0,6.0,81.0,0.0
