date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
10/18/2015,Stanford,3-1,4.0,0,62.0,23.0,150.0,0.26,58.0,2.0,5.0,60.0,2.0,2.0,20.0,0.0,76.0,0.0,Stanford,4,15.5,5.75,37.5,14.5,0.5,1.25,15.0,0.5,0.5,5.0,0.0,19.0,0.0
10/23/2015,@ Arizona,3-1,4.0,0,49.0,15.0,122.0,0.279,46.0,2.0,5.0,57.0,2.0,5.0,22.0,0.0,67.0,0.0,Arizona,4,12.25,3.75,30.5,11.5,0.5,1.25,14.25,0.5,1.25,5.5,0.0,16.75,0.0
10/24/2015,@ Arizona St.,1-3,4.0,0,42.0,21.0,105.0,0.2,40.0,2.0,12.0,41.0,4.0,11.0,4.0,1.0,57.0,3.0,Arizona St.,4,10.5,5.25,26.25,10.0,0.5,3.0,10.25,1.0,2.75,1.0,0.25,14.25,0.75
10/30/2015,Oregon St.,3-2,5.0,0,72.0,22.0,191.0,0.262,66.0,4.0,5.0,83.0,8.0,2.0,24.0,0.0,90.0,0.0,Oregon St.,5,14.4,4.4,38.2,13.2,0.8,1.0,16.6,1.6,0.4,4.8,0.0,18.0,0.0
10/31/2015,Oregon,2-3,5.0,0,48.0,18.0,155.0,0.194,47.0,8.0,6.0,61.0,5.0,2.0,18.0,1.0,67.0,2.0,Oregon,5,9.6,3.6,31.0,9.4,1.6,1.2,12.2,1.0,0.4,3.6,0.2,13.4,0.4
11/04/2015,@ UCLA,0-3,3.0,0,44.0,10.0,119.0,0.286,41.0,1.0,7.0,40.0,8.0,1.0,8.0,2.0,50.0,0.0,UCLA,3,14.666666666666666,3.3333333333333335,39.666666666666664,13.666666666666666,0.3333333333333333,2.3333333333333335,13.333333333333334,2.6666666666666665,0.3333333333333333,2.6666666666666665,0.6666666666666666,16.666666666666668,0.0
11/06/2015,@ Southern California,1-3,4.0,0,45.0,25.0,147.0,0.136,37.0,2.0,10.0,48.0,7.0,3.0,12.0,1.0,56.0,0.0,Southern California,4,11.25,6.25,36.75,9.25,0.5,2.5,12.0,1.75,0.75,3.0,0.25,14.0,0.0
11/12/2015,Arizona St.,3-2,5.0,0,69.0,38.0,170.0,0.182,68.0,2.0,11.0,58.0,3.0,3.0,14.0,0.0,81.0,2.0,Arizona St.,5,13.8,7.6,34.0,13.6,0.4,2.2,11.6,0.6,0.6,2.8,0.0,16.2,0.4
11/14/2015,Arizona,3-0,3.0,0,45.0,9.0,96.0,0.375,42.0,2.0,6.0,43.0,1.0,2.0,18.0,1.0,58.0,4.0,Arizona,3,15.0,3.0,32.0,14.0,0.6666666666666666,2.0,14.333333333333334,0.3333333333333333,0.6666666666666666,6.0,0.3333333333333333,19.333333333333332,1.3333333333333333
11/19/2015,@ Stanford,1-3,4.0,0,46.0,24.0,108.0,0.204,44.0,5.0,7.0,38.0,10.0,0.0,6.0,2.0,54.0,0.0,Stanford,4,11.5,6.0,27.0,11.0,1.25,1.75,9.5,2.5,0.0,1.5,0.5,13.5,0.0
11/21/2015,@ California,3-0,3.0,0,50.0,20.0,111.0,0.27,47.0,6.0,5.0,41.0,2.0,1.0,8.0,0.0,61.0,0.0,California,3,16.666666666666668,6.666666666666667,37.0,15.666666666666666,2.0,1.6666666666666667,13.666666666666666,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.0,20.333333333333332,0.0
11/25/2015,Washington St.,3-2,5.0,0,71.0,29.0,174.0,0.241,63.0,5.0,10.0,67.0,6.0,2.0,21.0,0.0,88.5,0.0,Washington St.,5,14.2,5.8,34.8,12.6,1.0,2.0,13.4,1.2,0.4,4.2,0.0,17.7,0.0
11/27/2015,Utah,3-1,4.0,0,50.0,15.0,124.0,0.282,47.0,8.0,9.0,46.0,5.0,1.0,24.0,0.0,71.0,1.0,Utah,4,12.5,3.75,31.0,11.75,2.0,2.25,11.5,1.25,0.25,6.0,0.0,17.75,0.25
