date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/26/2016,@ Stanford,0-3,3.0,0,36.0,19.0,110.0,0.155,35.0,4.0,4.0,33.0,5.0,0.0,10.0,0.0,45.0,0.0,Stanford,3,12.0,6.333333333333333,36.666666666666664,11.666666666666666,1.3333333333333333,1.3333333333333333,11.0,0.0,3.3333333333333335,0.0,15.0
10/28/2016,@ California,3-0,3.0,0,43.0,12.0,114.0,0.272,41.0,3.0,6.0,45.0,0.0,0.0,18.0,0.0,55.0,0.0,California,3,14.333333333333334,4.0,38.0,13.666666666666666,1.0,2.0,15.0,0.0,6.0,0.0,18.333333333333332
11/04/2016,Oregon,0-3,3.0,0,29.0,16.0,99.0,0.131,27.0,2.0,4.0,31.0,4.0,1.0,4.0,2.0,34.0,2.0,Oregon,3,9.666666666666666,5.333333333333333,33.0,9.0,0.6666666666666666,1.3333333333333333,10.333333333333334,0.3333333333333333,1.3333333333333333,0.6666666666666666,11.333333333333334
11/06/2016,Oregon St.,3-1,4.0,0,56.0,23.0,144.0,0.229,54.0,7.0,6.0,65.0,2.0,1.0,12.0,3.0,70.0,1.0,Oregon St.,4,14.0,5.75,36.0,13.5,1.75,1.5,16.25,0.25,3.0,0.75,17.5
11/10/2016,Arizona,3-0,3.0,0,43.0,11.0,112.0,0.286,42.0,3.0,6.0,47.0,3.0,4.0,12.0,6.0,56.0,0.0,Arizona,3,14.333333333333334,3.6666666666666665,37.333333333333336,14.0,1.0,2.0,15.666666666666666,1.3333333333333333,4.0,2.0,18.666666666666668
11/13/2016,Arizona St.,3-0,3.0,0,46.0,11.0,100.0,0.35,46.0,5.0,6.0,46.0,0.0,0.0,10.0,3.0,56.0,0.0,Arizona St.,3,15.333333333333334,3.6666666666666665,33.333333333333336,15.333333333333334,1.6666666666666667,2.0,15.333333333333334,0.0,3.3333333333333335,1.0,18.666666666666668
11/18/2016,@ Colorado,3-1,4.0,0,65.0,20.0,153.0,0.294,61.0,7.0,4.0,70.0,3.0,1.0,18.0,2.0,82.0,0.0,Colorado,4,16.25,5.0,38.25,15.25,1.75,1.0,17.5,0.25,4.5,0.5,20.5
11/20/2016,@ Utah,3-1,4.0,0,56.0,15.0,143.0,0.287,50.0,3.0,6.0,46.0,1.0,0.0,18.0,3.0,68.0,1.0,Utah,4,14.0,3.75,35.75,12.5,0.75,1.5,11.5,0.0,4.5,0.75,17.0
11/23/2016,UCLA,3-1,4.0,0,64.0,20.0,142.0,0.31,61.0,3.0,6.0,64.0,2.0,2.0,20.0,3.0,79.0,0.0,UCLA,4,16.0,5.0,35.5,15.25,0.75,1.5,16.0,0.5,5.0,0.75,19.75
11/26/2016,@ Washington St.,3-0,3.0,0,41.0,14.0,105.0,0.257,38.0,4.0,6.0,41.0,2.0,1.0,19.0,2.0,55.5,1.0,Washington St.,3,13.666666666666666,4.666666666666667,35.0,12.666666666666666,1.3333333333333333,2.0,13.666666666666666,0.3333333333333333,6.333333333333333,0.6666666666666666,18.5
12/02/2016,A&M-Corpus Christi,3-0,3.0,0,35.0,13.0,86.0,0.256,31.0,9.0,3.0,43.0,1.0,1.0,16.0,4.0,53.0,0.0,A&M-Corpus Christi,3,11.666666666666666,4.333333333333333,28.666666666666668,10.333333333333334,3.0,1.0,14.333333333333334,0.3333333333333333,5.333333333333333,1.3333333333333333,17.666666666666668
12/03/2016,Kentucky,3-0,3.0,0,44.0,13.0,92.0,0.337,41.0,6.0,5.0,37.0,1.0,0.0,16.0,4.0,58.0,0.0,Kentucky,3,14.666666666666666,4.333333333333333,30.666666666666668,13.666666666666666,2.0,1.6666666666666667,12.333333333333334,0.0,5.333333333333333,1.3333333333333333,19.333333333333332
12/09/2016,"Arizona @ Lincoln, Nebraska",3-0,3.0,0,40.0,9.0,106.0,0.292,38.0,4.0,4.0,41.0,3.0,0.0,30.0,4.0,59.0,0.0,Arizona,3,13.333333333333334,3.0,35.333333333333336,12.666666666666666,1.3333333333333333,1.3333333333333333,13.666666666666666,0.0,10.0,1.3333333333333333,19.666666666666668
12/10/2016,@ Nebraska,0-3,3.0,0,26.0,18.0,91.0,0.088,25.0,2.0,1.0,23.0,5.0,2.0,4.0,2.0,32.0,0.0,Nebraska,3,8.666666666666666,6.0,30.333333333333332,8.333333333333334,0.6666666666666666,0.3333333333333333,7.666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,10.666666666666666
