date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/14/2016,Holy Cross,3-0,3.0,0,47.0,12.0,104.0,0.337,43.0,4.0,12.0,42.0,4.0,2.0,8.0,4.0,57.0,0.0,Holy Cross,3,15.666666666666666,4.0,34.666666666666664,14.333333333333334,1.3333333333333333,4.0,14.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,19.0
10/15/2016,Army West Point,1-3,4.0,0,55.0,19.0,142.0,0.254,52.0,9.0,5.0,62.0,5.0,4.0,10.0,1.0,73.0,0.0,Army West Point,4,13.75,4.75,35.5,13.0,2.25,1.25,15.5,1.0,2.5,0.25,18.25
10/18/2016,@ Lafayette,3-2,5.0,0,53.0,20.0,152.0,0.217,46.0,6.0,12.0,66.0,5.0,4.0,14.0,2.0,70.0,0.0,Lafayette,5,10.6,4.0,30.4,9.2,1.2,2.4,13.2,0.8,2.8,0.4,14.0
10/21/2016,Loyola Maryland,3-0,3.0,0,44.0,12.0,92.0,0.348,41.0,4.0,4.0,44.0,4.0,5.0,8.0,0.0,57.0,0.0,Loyola Maryland,3,14.666666666666666,4.0,30.666666666666668,13.666666666666666,1.3333333333333333,1.3333333333333333,14.666666666666666,1.6666666666666667,2.6666666666666665,0.0,19.0
10/22/2016,Navy,2-3,5.0,0,62.0,28.0,214.0,0.159,61.0,4.0,6.0,93.0,4.0,3.0,14.0,0.0,76.0,0.0,Navy,5,12.4,5.6,42.8,12.2,0.8,1.2,18.6,0.6,2.8,0.0,15.2
10/28/2016,@ Bucknell,1-3,4.0,0,48.0,31.0,148.0,0.115,45.0,3.0,9.0,57.0,4.0,2.0,20.0,1.0,63.0,0.0,Bucknell,4,12.0,7.75,37.0,11.25,0.75,2.25,14.25,0.5,5.0,0.25,15.75
10/29/2016,Colgate,0-3,3.0,0,39.0,14.0,99.0,0.253,39.0,3.0,4.0,41.0,8.0,1.0,8.0,0.0,47.0,0.0,Colgate,3,13.0,4.666666666666667,33.0,13.0,1.0,1.3333333333333333,13.666666666666666,0.3333333333333333,2.6666666666666665,0.0,15.666666666666666
11/05/2016,American,3-0,3.0,0,48.0,14.0,101.0,0.337,45.0,5.0,7.0,44.0,2.0,1.0,10.0,0.0,59.0,0.0,American,3,16.0,4.666666666666667,33.666666666666664,15.0,1.6666666666666667,2.3333333333333335,14.666666666666666,0.3333333333333333,3.3333333333333335,0.0,19.666666666666668
11/11/2016,@ Army West Point,1-3,4.0,0,51.0,17.0,139.0,0.245,48.0,4.0,6.0,51.0,10.0,6.0,22.0,0.0,72.0,6.0,Army West Point,4,12.75,4.25,34.75,12.0,1.0,1.5,12.75,1.5,5.5,0.0,18.0
11/12/2016,@ Holy Cross,0-3,3.0,0,43.0,25.0,133.0,0.135,39.0,1.0,7.0,57.0,3.0,1.0,6.0,1.0,48.0,0.0,Holy Cross,3,14.333333333333334,8.333333333333334,44.333333333333336,13.0,0.3333333333333333,2.3333333333333335,19.0,0.3333333333333333,2.0,0.3333333333333333,16.0
