date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2011,Texas Tech,3-1,4.0,0,49.0,23.0,161.0,0.161,44.0,6.0,8.0,74.0,3.0,10.0,1.0,63.0,0.0,Texas Tech,4,12.25,5.75,40.25,11.0,1.5,2.0,18.5,0.75,2.5,0.25,15.75
08/27/2011,Grambling,3-0,3.0,0,39.0,5.0,66.0,0.515,35.0,9.0,7.0,29.0,1.0,8.0,1.0,53.0,0.0,Grambling,3,13.0,1.6666666666666667,22.0,11.666666666666666,3.0,2.3333333333333335,9.666666666666666,0.3333333333333333,2.6666666666666665,0.3333333333333333,17.666666666666668
08/27/2011,UConn,3-0,3.0,0,49.0,12.0,105.0,0.352,48.0,5.0,7.0,58.0,2.0,2.0,2.0,57.0,0.0,UConn,3,16.333333333333332,4.0,35.0,16.0,1.6666666666666667,2.3333333333333335,19.333333333333332,0.6666666666666666,0.6666666666666666,0.6666666666666666,19.0
09/02/2011,@ SMU,3-1,4.0,0,57.0,19.0,186.0,0.204,53.0,6.0,6.0,91.0,0.0,8.0,0.0,67.0,0.0,SMU,4,14.25,4.75,46.5,13.25,1.5,1.5,22.75,0.0,2.0,0.0,16.75
09/03/2011,"Lamar University @ Dallas, Texas",3-0,3.0,0,46.0,9.0,117.0,0.316,44.0,6.0,7.0,56.0,3.0,4.0,1.0,57.0,0.0,Lamar University,3,15.333333333333334,3.0,39.0,14.666666666666666,2.0,2.3333333333333335,18.666666666666668,1.0,1.3333333333333333,0.3333333333333333,19.0
09/03/2011,"Alabama @ Dallas, Texas",3-1,4.0,0,59.0,22.0,148.0,0.25,53.0,6.0,8.0,82.0,0.0,14.0,1.0,72.0,0.0,Alabama,4,14.75,5.5,37.0,13.25,1.5,2.0,20.5,0.0,3.5,0.25,18.0
09/09/2011,"Loyola Maryland @ Villanova, PA",3-2,5.0,0,69.0,23.0,160.0,0.288,67.0,5.0,11.0,75.0,1.0,10.0,2.0,80.0,4.0,Loyola Maryland,5,13.8,4.6,32.0,13.4,1.0,2.2,15.0,0.2,2.0,0.4,16.0
09/10/2011,@ Villanova,3-1,4.0,0,55.0,23.0,171.0,0.187,52.0,1.0,7.0,94.0,0.0,10.0,2.0,61.0,2.0,Villanova,4,13.75,5.75,42.75,13.0,0.25,1.75,23.5,0.0,2.5,0.5,15.25
09/10/2011,"Colgate @ Villanova, Pa.",3-1,4.0,0,64.0,15.0,160.0,0.306,56.0,8.0,7.0,64.0,4.0,12.0,0.0,82.0,3.0,Colgate,4,16.0,3.75,40.0,14.0,2.0,1.75,16.0,1.0,3.0,0.0,20.5
09/13/2011,Baylor,3-0,3.0,0,43.0,16.0,133.0,0.203,39.0,4.0,3.0,77.0,1.0,10.0,0.0,53.0,1.0,Baylor,3,14.333333333333334,5.333333333333333,44.333333333333336,13.0,1.3333333333333333,1.0,25.666666666666668,0.3333333333333333,3.3333333333333335,0.0,17.666666666666668
