date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/19/2014,Louisiana,3-1,4.0,0,0,57.0,21.0,134.0,0.269,54.0,9.0,10.0,47.0,4.0,1.0,8.0,2.0,71.0,0.0,Louisiana,4,14.25,5.25,33.5,13.5,2.25,2.5,11.75,1.0,0.25,2.0,0.5,17.75
10/21/2014,Savannah St.,3-0,3.0,0,0,40.0,9.0,74.0,0.419,38.0,11.0,5.0,34.0,1.0,0.0,10.0,1.0,56.0,1.0,Savannah St.,3,13.333333333333334,3.0,24.666666666666668,12.666666666666666,3.6666666666666665,1.6666666666666667,11.333333333333334,0.3333333333333333,0.0,3.3333333333333335,0.3333333333333333,18.666666666666668
10/24/2014,@ UT Arlington,1-3,4.0,0,0,51.0,37.0,164.0,0.085,48.0,2.0,8.0,67.0,1.0,3.0,20.0,2.0,66.0,0.0,UT Arlington,4,12.75,9.25,41.0,12.0,0.5,2.0,16.75,0.25,0.75,5.0,0.5,16.5
10/25/2014,@ Texas St.,0-3,3.0,0,0,33.0,23.0,120.0,0.083,32.0,1.0,1.0,61.0,4.0,0.0,16.0,0.0,42.0,0.0,Texas St.,3,11.0,7.666666666666667,40.0,10.666666666666666,0.3333333333333333,0.3333333333333333,20.333333333333332,1.3333333333333333,0.0,5.333333333333333,0.0,14.0
10/31/2014,South Alabama,3-1,4.0,0,0,61.0,21.0,151.0,0.265,56.0,4.0,7.0,58.0,3.0,3.0,12.0,1.0,74.0,2.0,South Alabama,4,15.25,5.25,37.75,14.0,1.0,1.75,14.5,0.75,0.75,3.0,0.25,18.5
11/01/2014,Georgia St.,2-3,5.0,0,0,66.0,26.0,177.0,0.226,56.0,4.0,9.0,66.0,13.0,2.0,12.0,6.0,78.0,1.0,Georgia St.,5,13.2,5.2,35.4,11.2,0.8,1.8,13.2,2.6,0.4,2.4,1.2,15.6
11/07/2014,@ App State,0-3,3.0,0,0,32.0,19.0,105.0,0.124,29.0,3.0,3.0,40.0,4.0,0.0,6.0,0.0,38.0,0.0,App State,3,10.666666666666666,6.333333333333333,35.0,9.666666666666666,1.0,1.0,13.333333333333334,1.3333333333333333,0.0,2.0,0.0,12.666666666666666
11/14/2014,@ Little Rock,2-3,5.0,0,0,57.0,29.0,166.0,0.169,53.0,6.0,5.0,67.0,9.0,2.0,8.0,1.0,69.0,1.0,Little Rock,5,11.4,5.8,33.2,10.6,1.2,1.0,13.4,1.8,0.4,1.6,0.2,13.8
11/16/2014,@ Arkansas St.,1-3,4.0,0,0,57.0,32.0,156.0,0.16,53.0,1.0,5.0,59.0,5.0,0.0,6.0,0.0,61.0,0.0,Arkansas St.,4,14.25,8.0,39.0,13.25,0.25,1.25,14.75,1.25,0.0,1.5,0.0,15.25
11/21/2014,UT Arlington,1-3,4.0,0,0,50.0,31.0,143.0,0.133,48.0,2.0,4.0,61.0,7.0,1.0,8.0,0.0,57.0,1.0,UT Arlington,4,12.5,7.75,35.75,12.0,0.5,1.0,15.25,1.75,0.25,2.0,0.0,14.25
11/22/2014,Texas St.,0-3,3.0,0,0,33.0,26.0,110.0,0.064,31.0,1.0,3.0,46.0,4.0,3.0,4.0,2.0,39.0,1.0,Texas St.,3,11.0,8.666666666666666,36.666666666666664,10.333333333333334,0.3333333333333333,1.0,15.333333333333334,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,13.0
