date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/23/2014,@ Pacific,0-3,3.0,0,0,34.0,19.0,121.0,0.124,32.0,6.0,7.0,48.0,3.0,3.0,10.0,1.0,48.0,0.0,Pacific,3,11.333333333333334,6.333333333333333,40.333333333333336,10.666666666666666,2.0,2.3333333333333335,16.0,1.0,1.0,3.3333333333333335,0.3333333333333333,16.0
10/25/2014,@ Saint Mary's (CA),1-3,4.0,0,0,60.0,31.0,174.0,0.167,55.0,4.0,3.0,76.0,8.0,3.0,16.0,3.0,75.0,1.0,Saint Mary's ,4,15.0,7.75,43.5,13.75,1.0,0.75,19.0,2.0,0.75,4.0,0.75,18.75
10/30/2014,San Diego,3-0,3.0,0,0,49.0,9.0,100.0,0.4,48.0,7.0,6.0,33.0,3.0,2.0,6.0,1.0,61.0,2.0,San Diego,3,16.333333333333332,3.0,33.333333333333336,16.0,2.3333333333333335,2.0,11.0,1.0,0.6666666666666666,2.0,0.3333333333333333,20.333333333333332
11/01/2014,BYU,0-3,3.0,0,0,43.0,28.0,118.0,0.127,43.0,1.0,7.0,47.0,5.0,0.0,8.0,2.0,48.0,0.0,BYU,3,14.333333333333334,9.333333333333334,39.333333333333336,14.333333333333334,0.3333333333333333,2.3333333333333335,15.666666666666666,1.6666666666666667,0.0,2.6666666666666665,0.6666666666666666,16.0
11/06/2014,@ Portland,2-3,5.0,0,0,63.0,27.0,191.0,0.188,59.0,1.0,5.0,91.0,7.0,3.0,6.0,0.0,70.0,0.0,Portland,5,12.6,5.4,38.2,11.8,0.2,1.0,18.2,1.4,0.6,1.2,0.0,14.0
11/08/2014,@ Gonzaga,2-3,5.0,0,0,56.0,25.0,158.0,0.196,49.0,3.0,5.0,59.0,2.0,2.0,22.0,6.0,72.0,1.0,Gonzaga,5,11.2,5.0,31.6,9.8,0.6,1.0,11.8,0.4,0.4,4.4,1.2,14.4
11/13/2014,Pepperdine,1-3,4.0,0,0,47.0,18.0,135.0,0.215,46.0,6.0,3.0,60.0,6.0,1.0,16.0,0.0,62.0,2.0,Pepperdine,4,11.75,4.5,33.75,11.5,1.5,0.75,15.0,1.5,0.25,4.0,0.0,15.5
11/15/2014,LMU (CA),1-3,4.0,0,0,42.0,27.0,147.0,0.102,41.0,0.0,4.0,52.0,4.0,0.0,10.0,3.0,47.0,3.0,LMU ,4,10.5,6.75,36.75,10.25,0.0,1.0,13.0,1.0,0.0,2.5,0.75,11.75
11/20/2014,@ Santa Clara,0-3,3.0,0,0,38.0,16.0,100.0,0.22,35.0,3.0,4.0,42.0,6.0,1.0,6.0,0.0,45.0,0.0,Santa Clara,3,12.666666666666666,5.333333333333333,33.333333333333336,11.666666666666666,1.0,1.3333333333333333,14.0,2.0,0.3333333333333333,2.0,0.0,15.0
11/25/2014,Pacific,1-3,4.0,0,0,49.0,31.0,161.0,0.112,47.0,7.0,4.0,74.0,4.0,0.0,12.0,2.0,62.0,0.0,Pacific,4,12.25,7.75,40.25,11.75,1.75,1.0,18.5,1.0,0.0,3.0,0.5,15.5
