date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/16/2014,@ Central Mich.,1-3,4.0,0,0,47.0,18.0,136.0,0.213,46.0,5.0,7.0,50.0,8.0,0.0,20.0,1.0,62.0,0.0,Central Mich.,4,11.75,4.5,34.0,11.5,1.25,1.75,12.5,2.0,0.0,5.0,0.25,15.5
10/18/2014,@ Eastern Mich.,0-3,3.0,0,0,34.0,15.0,104.0,0.183,33.0,2.0,4.0,54.0,8.0,0.0,14.0,0.0,43.0,2.0,Eastern Mich.,3,11.333333333333334,5.0,34.666666666666664,11.0,0.6666666666666666,1.3333333333333333,18.0,2.6666666666666665,0.0,4.666666666666667,0.0,14.333333333333334
10/24/2014,Toledo,3-1,4.0,0,0,57.0,16.0,156.0,0.263,53.0,5.0,8.0,74.0,5.0,1.0,10.0,3.0,68.0,1.0,Toledo,4,14.25,4.0,39.0,13.25,1.25,2.0,18.5,1.25,0.25,2.5,0.75,17.0
10/25/2014,Ball St.,0-3,3.0,0,0,33.0,14.0,104.0,0.183,31.0,2.0,3.0,36.0,4.0,1.0,6.0,1.0,39.0,1.0,Ball St.,3,11.0,4.666666666666667,34.666666666666664,10.333333333333334,0.6666666666666666,1.0,12.0,1.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,13.0
10/31/2014,Akron,3-0,3.0,0,0,43.0,10.0,111.0,0.297,42.0,5.0,2.0,47.0,3.0,0.0,12.0,1.0,54.0,2.0,Akron,3,14.333333333333334,3.3333333333333335,37.0,14.0,1.6666666666666667,0.6666666666666666,15.666666666666666,1.0,0.0,4.0,0.3333333333333333,18.0
11/01/2014,Buffalo,3-2,5.0,0,0,62.0,26.0,159.0,0.226,57.0,7.0,8.0,71.0,4.0,2.0,20.0,1.0,81.0,2.0,Buffalo,5,12.4,5.2,31.8,11.4,1.4,1.6,14.2,0.8,0.4,4.0,0.2,16.2
11/06/2014,@ Miami (OH),1-3,4.0,0,0,59.0,21.0,164.0,0.232,53.0,1.0,6.0,74.0,3.0,0.0,14.0,1.0,67.0,1.0,Miami ,4,14.75,5.25,41.0,13.25,0.25,1.5,18.5,0.75,0.0,3.5,0.25,16.75
11/08/2014,@ NIU,1-3,4.0,0,0,51.0,20.0,146.0,0.212,49.0,5.0,7.0,62.0,5.0,2.0,12.0,3.0,64.0,0.0,NIU,4,12.75,5.0,36.5,12.25,1.25,1.75,15.5,1.25,0.5,3.0,0.75,16.0
11/14/2014,@ Ohio,0-3,3.0,0,0,23.0,16.0,104.0,0.067,22.0,4.0,7.0,53.0,6.0,0.0,8.0,3.0,31.0,1.0,Ohio,3,7.666666666666667,5.333333333333333,34.666666666666664,7.333333333333333,1.3333333333333333,2.3333333333333335,17.666666666666668,2.0,0.0,2.6666666666666665,1.0,10.333333333333334
11/15/2014,@ Kent St.,1-3,4.0,0,0,59.0,29.0,186.0,0.161,56.0,8.0,7.0,83.0,3.0,6.0,12.0,1.0,79.0,1.0,Kent St.,4,14.75,7.25,46.5,14.0,2.0,1.75,20.75,0.75,1.5,3.0,0.25,19.75
