iter	Passed	Remaining
310	2398	5314
311	2406	5306
312	2413	5297
313	2420	5289
314	2428	5280
315	2435	5272
316	2443	5265
317	2451	5257
318	2457	5247
319	2465	5239
320	2473	5231
321	2480	5222
322	2487	5213
323	2494	5204
324	2501	5195
325	2509	5189
326	2517	5181
327	2525	5174
328	2532	5165
329	2540	5158
330	2548	5151
331	2556	5143
332	2563	5134
333	2570	5126
334	2577	5117
335	2585	5109
336	2593	5101
337	2601	5094
338	2608	5086
339	2616	5078
340	2624	5071
341	2631	5063
342	2639	5056
343	2647	5048
344	2655	5041
345	2663	5033
346	2670	5026
347	2678	5018
348	2685	5009
349	2692	5000
350	2700	4993
351	2708	4985
352	2715	4977
353	2723	4969
354	2730	4961
355	2738	4953
356	2745	4945
357	2753	4937
358	2760	4928
359	2768	4922
360	2775	4913
361	2783	4905
362	2790	4897
363	2798	4888
364	2806	4881
365	2813	4874
366	2822	4867
367	2829	4859
368	2837	4851
369	2844	4844
370	2852	4836
371	2860	4829
372	2868	4822
373	2876	4814
374	2883	4806
375	2891	4798
376	2899	4791
377	2907	4784
378	2914	4775
379	2921	4767
380	2929	4759
381	2936	4750
382	2944	4743
383	2951	4735
384	2959	4727
385	2966	4719
386	2974	4711
387	2981	4703
388	2989	4695
389	2996	4687
390	3004	4679
391	3011	4671
392	3019	4664
393	3027	4656
394	3035	4649
395	3042	4641
396	3050	4633
397	3058	4625
398	3066	4618
399	3073	4610
400	3080	4602
401	3088	4593
402	3095	4586
403	3103	4578
404	3110	4570
405	3118	4562
406	3125	4554
407	3133	4546
408	3140	4538
409	3148	4531
410	3156	4524
411	3164	4516
412	3172	4508
413	3179	4499
414	3186	4492
415	3193	4483
416	3201	4475
417	3208	4467
418	3216	4460
419	3224	4452
420	3232	4445
421	3239	4437
422	3247	4430
423	3255	4422
424	3263	4414
425	3271	4407
426	3278	4400
427	3286	4392
428	3293	4383
429	3301	4376
430	3308	4367
431	3316	4359
432	3323	4351
433	3331	4344
434	3339	4337
435	3346	4329
436	3354	4321
437	3361	4313
438	3368	4305
439	3375	4296
440	3383	4289
441	3390	4280
442	3397	4272
443	3405	4264
444	3412	4256
445	3420	4248
446	3427	4240
447	3435	4233
448	3442	4224
449	3450	4217
450	3457	4209
451	3465	4201
452	3473	4194
453	3481	4187
454	3488	4179
455	3496	4171
456	3503	4163
457	3512	4156
458	3519	4148
459	3527	4140
460	3534	4132
461	3542	4125
462	3549	4117
463	3557	4109
464	3564	4101
465	3571	4093
466	3579	4085
467	3586	4077
468	3594	4069
469	3601	4061
