iter	Logloss
120	0.5190345561
121	0.5188900983
122	0.518777423
123	0.5186405557
124	0.5185413208
125	0.5184180742
126	0.5183060857
127	0.5181905052
128	0.51808264
129	0.517964248
130	0.5178315164
131	0.51770724
132	0.5175747743
133	0.517477961
134	0.5173672535
135	0.5172486651
136	0.5170916814
137	0.5169269983
138	0.5168278657
139	0.5166735268
140	0.5165483847
141	0.5164334372
142	0.516356865
143	0.5162849012
144	0.5161551063
145	0.5160583109
146	0.5159400677
147	0.5158026318
148	0.5156805217
149	0.5155591019
150	0.515442914
151	0.5153531857
152	0.5152216938
153	0.5151144879
154	0.5150211367
155	0.5149259857
156	0.5148061884
157	0.5147152748
158	0.5145634709
159	0.5144710668
160	0.5143896002
161	0.5142788232
162	0.5141880219
163	0.5140997089
164	0.5139747443
165	0.5138882342
166	0.5137517841
167	0.5136269149
168	0.5135549461
169	0.5134564318
170	0.5133407105
171	0.5132532811
172	0.5131542293
173	0.5130482018
174	0.5129512086
175	0.5128490191
176	0.5127693393
177	0.5126565235
178	0.5125656603
179	0.5124289558
180	0.5123153448
181	0.5122075223
182	0.5120661767
183	0.5119573072
184	0.5118473197
185	0.5117140677
186	0.5115855026
187	0.5114900104
188	0.5113383127
189	0.5112406958
190	0.5111567474
191	0.5110154048
192	0.5109001559
193	0.5108146276
194	0.5107021182
195	0.5105758968
196	0.5104557708
197	0.5103684956
198	0.5102674009
199	0.5101535298
200	0.5100293494
201	0.5098965066
202	0.5097457147
203	0.5096059891
204	0.5094993993
205	0.5093995392
206	0.5093062611
207	0.50919607
208	0.509083635
209	0.5089806369
210	0.5088596667
211	0.5087714314
212	0.5086747957
213	0.5085879031
214	0.5084529016
215	0.508327711
216	0.5081809378
217	0.5080233865
218	0.5078961893
219	0.5077664936
220	0.5076596605
221	0.5075443958
222	0.5073709021
223	0.5072638402
224	0.5071577071
225	0.5070432216
226	0.5068968876
227	0.506778765
228	0.5066675603
229	0.506538311
230	0.5064219575
231	0.5062912288
232	0.5061585179
233	0.5060206289
234	0.5059017923
235	0.5057570135
236	0.505626637
237	0.5055105827
238	0.5053734318
239	0.5052724431
240	0.505147034
241	0.5050045665
242	0.5048738364
243	0.5047238569
244	0.504605311
245	0.5044287674
246	0.5042628923
247	0.5041046331
248	0.5039736219
249	0.5038426406
250	0.5037281562
251	0.5036139846
252	0.5034708433
253	0.5033640443
254	0.5032218514
255	0.5030796189
256	0.5029336468
257	0.5028300429
258	0.5027042171
259	0.5025594287
260	0.5024504001
261	0.5023277045
262	0.5022136372
263	0.5020589345
264	0.5019478235
265	0.501825601
266	0.5016973263
267	0.5015797544
268	0.5014492728
269	0.5013260432
270	0.5012263844
271	0.5011175174
272	0.5010330439
273	0.5009461182
274	0.5008362154
275	0.5007164262
276	0.5005898522
277	0.5004817789
278	0.5003415572
279	0.5002229076
280	0.5001084563
281	0.4999872775
282	0.499848733
283	0.4997345229
284	0.499625047
285	0.4994966654
286	0.4993739325
287	0.4992700623
288	0.4991353944
289	0.4989784123
290	0.4988317323
291	0.4986829982
292	0.498569129
293	0.498432359
294	0.4983191858
295	0.4981770033
296	0.4980573125
297	0.4979622905
298	0.4978384088
299	0.4977102058
300	0.4975712756
301	0.4974466153
302	0.4973408348
303	0.4972225207
304	0.4971124306
305	0.4969803794
306	0.4968573012
307	0.4967226459
308	0.4966180169
309	0.4965178827
310	0.4963998855
311	0.4962746169
312	0.4961481876
313	0.4960339069
314	0.4959274625
315	0.4957991501
316	0.4956556418
317	0.4955613812
318	0.4954669947
319	0.4953345965
320	0.4952106719
321	0.4951026307
322	0.4949877003
323	0.4948812141
324	0.4947776063
325	0.494625904
326	0.4945290619
327	0.4944151943
328	0.494307966
329	0.4941723249
330	0.4940553481
331	0.4939182387
332	0.4937361052
333	0.4936260503
334	0.493494148
335	0.4933574052
336	0.4932501388
337	0.4931585019
338	0.4930217465
339	0.4929142823
340	0.492777354
341	0.4926712232
342	0.4925647885
343	0.4924343394
344	0.4923190443
345	0.4921911847
346	0.4920490251
347	0.4919259989
348	0.4917936619
349	0.4916702332
350	0.4915598696
351	0.49147307
352	0.4913772792
353	0.4912470552
354	0.4911292137
355	0.4910225371
356	0.4908972288
357	0.4907730257
358	0.4906438071
359	0.4905472366
360	0.4904283171
361	0.490311024
362	0.4902121248
363	0.4901157033
364	0.489993623
365	0.4898729774
366	0.4897241552
367	0.4896245455
368	0.4895405282
369	0.4894128963
370	0.4893150202
371	0.4891951396
372	0.4890958241
373	0.4890038272
374	0.4888818256
375	0.4887693211
376	0.4886402349
377	0.4885590271
378	0.4884372523
379	0.4883328989
380	0.488221595
381	0.488095464
382	0.4879968755
383	0.4878763321
384	0.4877771904
385	0.4876585409
386	0.4875471548
387	0.4874381814
388	0.4873129338
389	0.4871881104
390	0.4870673563
391	0.4869661208
392	0.4868655902
393	0.4867835302
394	0.4866712106
395	0.4865540164
396	0.4864437785
397	0.486348258
398	0.4862249009
399	0.4861017663
400	0.4859822515
401	0.4858713448
402	0.485749455
403	0.4856441639
404	0.4855562014
405	0.4854497588
406	0.485339832
407	0.4851861743
408	0.4850645731
409	0.4849326111
410	0.4848151461
411	0.4847032861
412	0.4846175937
413	0.4845010798
414	0.4844021515
415	0.4842966922
416	0.4842080102
417	0.4841390044
418	0.484025409
419	0.4839451733
420	0.4838157061
421	0.4837352565
422	0.4836175543
423	0.4834910956
424	0.4833928353
425	0.4832754566
426	0.4831414352
427	0.483047745
428	0.4829337572
429	0.4828254664
430	0.4827427405
431	0.4826575176
432	0.4825563207
433	0.482459796
434	0.4823561318
435	0.4822447788
436	0.4820997792
437	0.4819974678
438	0.4818780435
439	0.4817805786
440	0.4816542373
441	0.4815633655
442	0.4814428505
443	0.4813392393
444	0.4812465355
445	0.4811382561
446	0.4810663382
447	0.4809587324
448	0.480844813
449	0.4807241253
450	0.4806179657
451	0.4805213281
452	0.480448025
453	0.4803279161
454	0.4802117016
455	0.4801154843
456	0.4800146685
457	0.4799044859
458	0.4797771645
459	0.4796719198
460	0.4795554917
461	0.4794485355
462	0.4793307568
463	0.4792276154
464	0.4790924613
465	0.4790173075
466	0.4788885846
467	0.4787560699
468	0.4786584728
469	0.4785357735
470	0.4784285425
471	0.4783384202
472	0.4782156244
473	0.4781039346
474	0.4779789144
475	0.4778759629
476	0.4777695469
477	0.4776356428
478	0.477522682
479	0.4774334274
480	0.4773311602
481	0.4772268324
482	0.477102751
483	0.4769974512
484	0.476882481
485	0.4767436545
486	0.4766244793
487	0.4765471592
488	0.4764464458
489	0.4763242277
490	0.4762278793
491	0.4761136237
492	0.4760232812
493	0.4759226562
494	0.4758197261
495	0.4757217486
496	0.4756295281
497	0.4755002283
498	0.4753826612
499	0.4752829268
500	0.475229116
501	0.4751480743
502	0.47504713
503	0.4749463439
504	0.4748533866
505	0.4747323406
506	0.4746612129
507	0.4745498526
508	0.4744625673
509	0.4743457785
510	0.4742537123
511	0.4741482946
512	0.4740095624
513	0.4738825945
514	0.4737917028
515	0.473691974
516	0.4736361216
517	0.4735254216
518	0.473406251
519	0.4733110273
520	0.4731711115
521	0.4730707391
522	0.4729745942
523	0.4728515842
524	0.4727530048
525	0.472631589
526	0.4725355623
527	0.4724352424
528	0.472319842
529	0.4722418568
530	0.4721367357
531	0.4720757115
532	0.471977884
533	0.4718763595
534	0.4717662187
535	0.4716504613
536	0.4715765295
537	0.4714731175
538	0.4713891631
539	0.4712649594
540	0.4711384961
541	0.4710535949
542	0.4709773678
543	0.4708907319
544	0.4707726405
545	0.4706885918
546	0.4706031939
547	0.47050801
548	0.4704072751
549	0.4703118895
550	0.4702287597
551	0.4701281561
552	0.470036706
553	0.4699305565
554	0.469853997
555	0.4697474612
556	0.469661336
557	0.4695657262
558	0.4694477003
559	0.4693521868
560	0.4692533067
561	0.4691232965
562	0.4690671229
563	0.4689612849
564	0.4688851461
565	0.468789111
566	0.4686901929
567	0.4685759832
568	0.4685024679
569	0.4683873991
570	0.4682663386
571	0.4681721215
572	0.4680857221
573	0.4680070236
574	0.4679026542
575	0.4678044297
576	0.4676791439
577	0.4675412133
578	0.4674481538
579	0.4673567925
580	0.4672537366
581	0.4671738091
582	0.4670725179
583	0.4669621695
584	0.4669139295
585	0.4668023846
586	0.4667136941
587	0.4666336805
588	0.466531633
589	0.4664029893
590	0.4662996641
591	0.4661953633
592	0.4660773091
593	0.4659759272
594	0.4658881253
595	0.4657689278
596	0.4656760333
597	0.4655675168
598	0.4654891346
599	0.4653824226
600	0.4653275365
601	0.465220177
602	0.4651331758
603	0.4650514119
604	0.4649720758
605	0.4648907658
606	0.4647588777
607	0.4646590205
608	0.4645872519
609	0.4644862191
610	0.4643936673
611	0.4642979106
612	0.4641874897
613	0.4640895583
614	0.4639958473
615	0.4638689717
616	0.4637623498
617	0.4636595802
618	0.463557986
619	0.463460333
620	0.4633549605
621	0.4632482704
622	0.4631104067
623	0.4630115413
624	0.4629249699
625	0.4628533288
626	0.4627511991
627	0.462648878
628	0.4625249771
629	0.4624096983
630	0.4623221707
631	0.4622271583
632	0.462102198
633	0.4620117467
634	0.4619325151
635	0.461818415
636	0.4617541697
637	0.4616536952
638	0.4615574829
639	0.4614461091
640	0.4613299688
641	0.4612083285
642	0.4611142186
643	0.4610120565
644	0.4608904168
645	0.4607775863
646	0.4607020943
647	0.4606078367
648	0.4605440993
649	0.4604625644
650	0.4603674839
651	0.4602834104
652	0.4601987765
653	0.4601048317
654	0.4599994642
655	0.4599145671
656	0.4598175233
657	0.4597349511
658	0.4596102443
659	0.4595258721
660	0.4594324462
661	0.4593376123
662	0.4592466524
663	0.4591620986
664	0.4590536182
665	0.4589460197
666	0.4588511404
667	0.4587638089
668	0.4586645822
669	0.4585740687
670	0.4584548729
671	0.4583427208
672	0.4582453024
673	0.4581627991
674	0.4580669723
675	0.4579515508
676	0.4578480402
677	0.4577616048
678	0.4576863755
679	0.457604201
680	0.4574755368
681	0.4573871487
682	0.4573006828
683	0.4571811526
684	0.4570558844
685	0.4569532276
686	0.4568378689
687	0.4567773879
688	0.4566965142
689	0.4565993101
690	0.4564924983
691	0.4563912563
692	0.4563248263
693	0.4561984163
694	0.4560762144
695	0.4560077464
696	0.4559577095
697	0.4558721123
698	0.4557622558
699	0.45569356
700	0.4555983743
701	0.4555115423
702	0.4553755789
703	0.4552842295
704	0.4552002552
705	0.4551027902
706	0.4550354109
707	0.454930547
708	0.4548481439
709	0.454763855
710	0.4546350165
711	0.454545038
712	0.4544417038
713	0.4543319573
714	0.4542605502
715	0.4541479343
716	0.4540737253
717	0.4539835694
718	0.4539080572
719	0.4537904336
720	0.4536904084
721	0.4535997344
722	0.4534908426
723	0.4533739356
724	0.4532848202
725	0.4532094972
726	0.4530826788
727	0.4529934763
728	0.4529059842
729	0.4528154099
730	0.4527084728
731	0.4526444975
732	0.4525467665
733	0.4524374896
734	0.4523726737
735	0.4523048895
736	0.4522025825
737	0.4520969445
738	0.4520160042
739	0.4519021034
740	0.4517896657
741	0.4516860615
742	0.4516342071
743	0.4515213739
744	0.451449974
745	0.4513546419
746	0.4512905065
747	0.4512113987
748	0.4511214324
749	0.4510144969
750	0.4508889401
751	0.4507822174
752	0.4507123618
753	0.4506201395
754	0.4505165366
755	0.4504731685
756	0.4503848925
757	0.4503052662
758	0.4502389281
759	0.4501304974
760	0.4500603466
761	0.4499718781
762	0.4498400427
763	0.4497236197
764	0.4496122381
765	0.4495001416
766	0.4493979279
767	0.4492959478
768	0.4491611821
769	0.4490601501
770	0.4489955911
771	0.4489052631
772	0.4488096612
773	0.4486996111
774	0.4485808574
775	0.448500712
776	0.4484270476
777	0.4483416826
778	0.4482810751
779	0.4482027155
780	0.4481493693
781	0.4480765851
782	0.4479899534
783	0.4479017216
784	0.4478253086
785	0.4477424389
786	0.4476554833
787	0.4475598898
788	0.4474667018
789	0.4473684449
790	0.4472601139
791	0.4471751696
792	0.4470767843
793	0.4470034204
794	0.4469067422
795	0.446821887
796	0.4467391869
797	0.446650443
798	0.4465465157
799	0.4464783937
800	0.446372332
801	0.4462949474
802	0.446173789
803	0.4460855028
804	0.4460126394
805	0.4459181337
806	0.4458011261
807	0.4457051378
808	0.4455944652
809	0.4454869867
810	0.4454088528
811	0.4452974091
812	0.4452242924
813	0.4451590386
814	0.4450675991
815	0.4450023455
816	0.4449169378
817	0.4448340309
818	0.4447537463
819	0.444652331
820	0.4445708837
821	0.444507575
822	0.4444113682
823	0.4443117717
824	0.444250063
825	0.4441438072
826	0.4440504345
827	0.4439777731
828	0.4438778703
829	0.4437912713
830	0.4437169788
831	0.4436305308
832	0.4435596068
833	0.4434698538
834	0.4433676792
835	0.4432852743
836	0.4432172739
837	0.4431275114
838	0.4430327036
839	0.442970514
840	0.4428800224
841	0.4428125787
842	0.4427173497
843	0.4426067881
844	0.4425252269
845	0.4424344601
846	0.4423642192
847	0.4422931036
848	0.4421847991
849	0.4420737821
850	0.4420009963
851	0.441901621
852	0.4418240698
853	0.4417431578
854	0.4416684794
855	0.4416009241
856	0.4414916527
857	0.4413736866
858	0.4412742085
859	0.4411754226
860	0.441071702
861	0.4409937492
862	0.4409225043
863	0.4408327376
864	0.4407486834
865	0.4406685755
866	0.4406075862
867	0.4405211958
868	0.4404314609
869	0.4403363769
870	0.4402292183
871	0.4401596846
872	0.4400625041
873	0.4399710094
874	0.4398802874
875	0.4398120368
876	0.4397267347
877	0.4396304675
878	0.4395429409
879	0.4394610833
880	0.4393884296
881	0.4393134698
882	0.4392456609
883	0.4391623067
884	0.4390588013
885	0.4389598978
886	0.4389029478
887	0.4388050878
888	0.4387053473
889	0.4385978913
890	0.4384857187
891	0.4384250727
892	0.4383282424
893	0.438248227
894	0.4381492935
895	0.4380850276
896	0.4379767871
897	0.4378998681
898	0.4377982994
899	0.4377304364
900	0.4376243946
901	0.4375431939
902	0.4374695321
903	0.4373895225
904	0.437301776
905	0.4372108941
906	0.4371358893
907	0.4370552601
908	0.436977588
909	0.4369125738
910	0.4368145722
911	0.436719923
912	0.4365950356
913	0.4364972913
914	0.4364349438
915	0.4363583318
916	0.4362837479
917	0.436209651
918	0.4361374451
919	0.4360573794
920	0.4359847511
921	0.4358907314
922	0.4358010811
923	0.4357197762
924	0.4356380148
925	0.4355298243
926	0.4354516489
927	0.4353357204
928	0.4352447658
929	0.4351532828
930	0.4350795721
931	0.4349945272
932	0.4349076128
933	0.4348336055
934	0.434715331
935	0.4346427586
936	0.4345690886
937	0.4344922194
938	0.4344040675
939	0.4343089787
940	0.4341949031
941	0.4340753749
942	0.433983292
943	0.4338700814
944	0.4337848476
945	0.4336935056
946	0.4335916591
947	0.4335053801
948	0.4333913003
949	0.4332887326
950	0.4332132268
951	0.4331135844
952	0.4330442738
953	0.4329680763
954	0.4329156168
955	0.4328553389
956	0.4327665241
957	0.4326931124
958	0.4326346847
959	0.4325466306
960	0.4324598373
961	0.4323586234
962	0.4322558142
963	0.4321640963
964	0.4320874587
965	0.4320313176
966	0.4319682154
967	0.431876185
968	0.4317749543
969	0.4316923067
970	0.4316221652
971	0.4315498463
972	0.4314860245
973	0.4313866913
974	0.4312749536
975	0.4311976537
976	0.4311090376
977	0.4309944259
978	0.4309374888
979	0.4308586727
980	0.4307586046
981	0.4307047896
982	0.4306307743
983	0.4305628516
984	0.4304722721
985	0.4303805006
986	0.4303211962
987	0.4302375568
988	0.4301657015
989	0.4300847022
990	0.4299818311
991	0.429868479
992	0.4297661123
993	0.4296955281
994	0.4295886926
995	0.4295049021
996	0.429418942
997	0.4293503816
998	0.4292842432
999	0.4291863188
