iter	Logloss
0	0.6813907853
1	0.6705785197
2	0.6606504719
3	0.6511104954
4	0.6419521442
5	0.6339559622
6	0.6271445638
7	0.6202044045
8	0.6147804782
9	0.6092567394
10	0.6039901198
11	0.5991845274
12	0.5949411433
13	0.5906406372
14	0.5875273033
15	0.5839105368
16	0.5806820311
17	0.5775759147
18	0.5749069593
19	0.5724279736
20	0.5700038218
21	0.5674039557
22	0.5651868569
23	0.5631983849
24	0.5611075596
25	0.559375261
26	0.5577392065
27	0.5561511328
28	0.5546394001
29	0.5532700545
30	0.5519654318
31	0.5507407654
32	0.5495706184
33	0.5483835841
34	0.5471514215
35	0.5461367446
36	0.5449844037
37	0.5439265234
38	0.5430737185
39	0.5423179378
40	0.5416436286
41	0.5407945503
42	0.5400225088
43	0.5393305861
44	0.5386528059
45	0.5380891323
46	0.5374358844
47	0.5368946232
48	0.5362674013
49	0.5357180167
50	0.5351691876
51	0.5346857445
52	0.5342395262
53	0.5337139419
54	0.5333061211
55	0.5328772445
56	0.5324140965
57	0.5320568597
58	0.5316674499
59	0.53134162
60	0.531005154
61	0.5307040207
62	0.5303575918
63	0.5299594246
64	0.5295721835
65	0.5292555939
66	0.5289935045
67	0.5287375877
68	0.5284784723
69	0.5282372226
70	0.5279410028
71	0.5277029389
72	0.5274166439
73	0.5271757396
74	0.5269478809
75	0.5266538277
76	0.5263651573
77	0.5261057162
78	0.5258919691
79	0.5256445293
80	0.5253968182
81	0.5251696499
82	0.5249425897
83	0.5246983919
84	0.5245087201
85	0.52428533
86	0.5240777698
87	0.5238949111
88	0.5237420074
89	0.5235590089
90	0.5234270681
91	0.5232831542
92	0.5231492609
93	0.5229581019
94	0.5228169003
95	0.5226697196
96	0.5225227003
97	0.5223495404
98	0.522172206
99	0.5220308326
100	0.5218333827
101	0.5216920189
102	0.5215780918
103	0.5213947482
104	0.5212357044
105	0.5210683304
106	0.5208830748
107	0.5207319766
108	0.520608058
109	0.5205191227
110	0.5203884808
111	0.5202330271
112	0.5201143176
113	0.5199645328
114	0.519801194
115	0.5197033163
116	0.5195694128
117	0.51944168
118	0.5193197015
119	0.5192178501
