date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/12/2018,@ Wake Forest,1-3,0,4.0,0,44.0,20.0,120.0,0.2,38.0,4.0,6.0,37.0,14.0,0.0,12.0,4.0,54.0,0.0,Wake Forest,4,11.0,5.0,30.0,9.5,1.0,1.5,9.25,3.5,0.0,3.0,1.0,13.5
10/14/2018,@ Duke,3-1,0,4.0,0,60.0,14.0,145.0,0.317,58.0,5.0,3.0,65.0,10.0,4.0,12.0,0.0,75.0,0.0,Duke,4,15.0,3.5,36.25,14.5,1.25,0.75,16.25,2.5,1.0,3.0,0.0,18.75
10/19/2018,@ Florida St.,1-3,0,4.0,0,52.0,30.0,157.0,0.14,49.0,6.0,3.0,65.0,6.0,0.0,14.0,2.0,65.0,1.0,Florida St.,4,13.0,7.5,39.25,12.25,1.5,0.75,16.25,1.5,0.0,3.5,0.5,16.25
10/21/2018,@ Miami (FL),1-3,0,4.0,0,49.0,25.0,121.0,0.198,46.0,3.0,6.0,41.0,5.0,1.0,10.0,0.0,58.0,1.0,Miami ,4,12.25,6.25,30.25,11.5,0.75,1.5,10.25,1.25,0.25,2.5,0.0,14.5
10/26/2018,North Carolina,3-2,0,5.0,0,64.0,27.0,161.0,0.23,60.0,5.0,9.0,64.0,7.0,1.0,16.0,1.0,78.0,1.0,North Carolina,5,12.8,5.4,32.2,12.0,1.0,1.8,12.8,1.4,0.2,3.2,0.2,15.6
10/28/2018,NC State,3-0,0,3.0,0,41.0,11.0,93.0,0.323,38.0,4.0,3.0,49.0,1.0,0.0,12.0,2.0,51.0,3.0,NC State,3,13.666666666666666,3.6666666666666665,31.0,12.666666666666666,1.3333333333333333,1.0,16.333333333333332,0.3333333333333333,0.0,4.0,0.6666666666666666,17.0
11/02/2018,Pittsburgh,0-3,0,3.0,0,33.0,14.0,96.0,0.198,31.0,3.0,3.0,33.0,9.0,0.0,8.0,0.0,40.0,2.0,Pittsburgh,3,11.0,4.666666666666667,32.0,10.333333333333334,1.0,1.0,11.0,3.0,0.0,2.6666666666666665,0.0,13.333333333333334
11/04/2018,Virginia,3-1,0,4.0,0,61.0,20.0,163.0,0.252,58.0,3.0,11.0,83.0,7.0,3.0,12.0,1.0,73.0,2.0,Virginia,4,15.25,5.0,40.75,14.5,0.75,2.75,20.75,1.75,0.75,3.0,0.25,18.25
11/11/2018,Syracuse,0-3,0,3.0,0,39.0,22.0,107.0,0.159,34.0,3.0,8.0,33.0,2.0,0.0,10.0,3.0,47.0,0.0,Syracuse,3,13.0,7.333333333333333,35.666666666666664,11.333333333333334,1.0,2.6666666666666665,11.0,0.6666666666666666,0.0,3.3333333333333335,1.0,15.666666666666666
11/16/2018,@ Virginia,3-1,0,4.0,0,55.0,27.0,136.0,0.206,52.0,9.0,3.0,45.0,4.0,2.0,10.0,3.0,71.0,2.0,Virginia,4,13.75,6.75,34.0,13.0,2.25,0.75,11.25,1.0,0.5,2.5,0.75,17.75
11/21/2018,@ Pittsburgh,0-3,0,3.0,0,29.0,16.0,87.0,0.149,29.0,0.0,5.0,29.0,5.0,0.0,2.0,3.0,30.0,1.0,Pittsburgh,3,9.666666666666666,5.333333333333333,29.0,9.666666666666666,0.0,1.6666666666666667,9.666666666666666,1.6666666666666667,0.0,0.6666666666666666,1.0,10.0
11/23/2018,@ Louisville,0-3,0,3.0,0,41.0,17.0,114.0,0.211,40.0,2.0,6.0,48.0,10.0,1.0,6.0,0.0,47.0,1.0,Louisville,3,13.666666666666666,5.666666666666667,38.0,13.333333333333334,0.6666666666666666,2.0,16.0,3.333333333333333,0.3333333333333333,2.0,0.0,15.666666666666666
11/29/2018,South Fla.,3-2,0,5.0,0,64.0,24.0,163.0,0.245,60.0,5.0,4.0,70.0,8.0,1.0,4.0,3.0,72.0,3.0,South Fla.,5,12.8,4.8,32.6,12.0,1.0,0.8,14.0,1.6,0.2,0.8,0.6,14.4
11/30/2018,Col. of Charleston,1-3,0,4.0,0,59.0,20.0,150.0,0.26,54.0,3.0,7.0,53.0,1.0,1.0,16.0,2.0,71.0,1.0,Col. of Charleston,4,14.75,5.0,37.5,13.5,0.75,1.75,13.25,0.25,0.25,4.0,0.5,17.75
