date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
09/29/2018,Grand Canyon,3-0,0,3.0,0,47.0,12.0,100.0,0.35,41.0,3.0,4.0,32.0,3.0,1.0,18.0,1.0,60.0,1.0,Grand Canyon,3,15.666666666666666,4.0,33.333333333333336,13.666666666666666,1.0,1.3333333333333333,10.666666666666666,1.0,0.3333333333333333,6.0,0.3333333333333333,20.0
10/04/2018,@ Kansas City,3-0,0,3.0,0,42.0,11.0,88.0,0.352,39.0,5.0,5.0,33.0,1.0,0.0,26.0,2.0,60.0,1.0,Kansas City,3,14.0,3.6666666666666665,29.333333333333332,13.0,1.6666666666666667,1.6666666666666667,11.0,0.3333333333333333,0.0,8.666666666666666,0.6666666666666666,20.0
10/06/2018,@ Chicago St.,3-0,0,3.0,0,43.0,14.0,105.0,0.276,42.0,1.0,7.0,52.0,1.0,1.0,20.0,1.0,55.0,1.0,Chicago St.,3,14.333333333333334,4.666666666666667,35.0,14.0,0.3333333333333333,2.3333333333333335,17.333333333333332,0.3333333333333333,0.3333333333333333,6.666666666666667,0.3333333333333333,18.333333333333332
10/13/2018,@ UTRGV,3-2,0,5.0,0,63.0,24.0,191.0,0.204,59.0,6.0,13.0,83.0,4.0,1.0,16.0,3.0,78.0,5.0,UTRGV,5,12.6,4.8,38.2,11.8,1.2,2.6,16.6,0.8,0.2,3.2,0.6,15.6
10/18/2018,Utah Valley,3-1,0,4.0,0,68.0,24.0,182.0,0.242,67.0,5.0,3.0,86.0,8.0,1.0,14.0,1.0,81.0,4.0,Utah Valley,4,17.0,6.0,45.5,16.75,1.25,0.75,21.5,2.0,0.25,3.5,0.25,20.25
10/20/2018,CSU Bakersfield,3-0,0,3.0,0,33.0,15.0,93.0,0.194,30.0,2.0,4.0,44.0,3.0,1.0,24.0,1.0,48.0,1.0,CSU Bakersfield,3,11.0,5.0,31.0,10.0,0.6666666666666666,1.3333333333333333,14.666666666666666,1.0,0.3333333333333333,8.0,0.3333333333333333,16.0
10/27/2018,UTRGV,2-3,0,5.0,0,68.0,34.0,162.0,0.21,65.0,5.0,8.0,72.0,6.0,1.0,22.0,2.0,85.0,3.0,UTRGV,5,13.6,6.8,32.4,13.0,1.0,1.6,14.4,1.2,0.2,4.4,0.4,17.0
11/01/2018,@ Seattle U,3-0,0,3.0,0,47.0,15.0,111.0,0.288,45.0,9.0,8.0,49.0,3.0,0.0,6.0,0.0,59.0,1.0,Seattle U,3,15.666666666666666,5.0,37.0,15.0,3.0,2.6666666666666665,16.333333333333332,1.0,0.0,2.0,0.0,19.666666666666668
11/03/2018,@ Utah Valley,2-3,0,5.0,0,67.0,36.0,192.0,0.161,65.0,8.0,9.0,84.0,7.0,1.0,28.0,0.0,90.0,4.0,Utah Valley,5,13.4,7.2,38.4,13.0,1.6,1.8,16.8,1.4,0.2,5.6,0.0,18.0
11/08/2018,@ Grand Canyon,3-1,0,4.0,0,63.0,14.0,136.0,0.36,58.0,6.0,12.0,57.0,7.0,0.0,22.0,4.0,80.0,3.0,Grand Canyon,4,15.75,3.5,34.0,14.5,1.5,3.0,14.25,1.75,0.0,5.5,1.0,20.0
11/10/2018,California Baptist,3-1,0,4.0,0,51.0,13.0,131.0,0.29,47.0,10.0,3.0,69.0,0.0,2.0,8.0,3.0,67.0,5.0,California Baptist,4,12.75,3.25,32.75,11.75,2.5,0.75,17.25,0.0,0.5,2.0,0.75,16.75
11/15/2018,Kansas City,3-2,0,5.0,0,64.0,31.0,170.0,0.194,60.0,10.0,7.0,62.0,5.0,1.0,14.0,1.0,82.0,1.0,Kansas City,5,12.8,6.2,34.0,12.0,2.0,1.4,12.4,1.0,0.2,2.8,0.2,16.4
11/17/2018,Chicago St.,3-0,0,3.0,0,46.0,15.0,120.0,0.258,44.0,4.0,7.0,50.0,9.0,0.0,18.0,1.0,59.0,1.0,Chicago St.,3,15.333333333333334,5.0,40.0,14.666666666666666,1.3333333333333333,2.3333333333333335,16.666666666666668,3.0,0.0,6.0,0.3333333333333333,19.666666666666668
11/23/2018,"Kansas City @ Bakersfield, CA",3-1,0,4.0,0,56.0,21.0,143.0,0.245,56.0,5.0,10.0,58.0,8.0,1.0,22.0,3.0,73.0,0.0,Kansas City,4,14.0,5.25,35.75,14.0,1.25,2.5,14.5,2.0,0.25,5.5,0.75,18.25
11/24/2018,"Utah Valley @ Bakersfield, CA",3-1,0,4.0,0,61.0,25.0,180.0,0.2,60.0,4.0,6.0,84.0,8.0,2.0,26.0,3.0,80.0,3.0,Utah Valley,4,15.25,6.25,45.0,15.0,1.0,1.5,21.0,2.0,0.5,6.5,0.75,20.0
11/29/2018,@ Oregon,1-3,0,4.0,0,54.0,25.0,140.0,0.207,49.0,6.0,7.0,62.0,7.0,1.0,6.0,2.0,64.0,1.0,Oregon,4,13.5,6.25,35.0,12.25,1.5,1.75,15.5,1.75,0.25,1.5,0.5,16.0
