date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/13/2018,@ Lipscomb,0-3,0,3.0,0,17.0,14.0,74.0,0.041,16.0,0.0,6.0,29.0,6.0,1.0,0.0,3.0,18.0,4.0,Lipscomb,3,5.666666666666667,4.666666666666667,24.666666666666668,5.333333333333333,0.0,2.0,9.666666666666666,2.0,0.3333333333333333,0.0,1.0,6.0
10/16/2018,Stetson,3-2,0,5.0,0,65.0,30.0,183.0,0.191,56.0,11.0,17.0,71.0,5.0,4.0,12.0,2.0,86.0,3.0,Stetson,5,13.0,6.0,36.6,11.2,2.2,3.4,14.2,1.0,0.8,2.4,0.4,17.2
10/19/2018,@ Liberty,0-3,0,3.0,0,27.0,25.0,97.0,0.021,26.0,3.0,6.0,38.0,4.0,2.0,6.0,1.0,35.0,1.0,Liberty,3,9.0,8.333333333333334,32.333333333333336,8.666666666666666,1.0,2.0,12.666666666666666,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,11.666666666666666
10/21/2018,@ FGCU,0-3,0,3.0,0,31.0,26.0,106.0,0.047,30.0,1.0,8.0,45.0,3.0,1.0,0.0,0.0,33.0,2.0,FGCU,3,10.333333333333334,8.666666666666666,35.333333333333336,10.0,0.3333333333333333,2.6666666666666665,15.0,1.0,0.3333333333333333,0.0,0.0,11.0
10/23/2018,North Florida,0-3,0,3.0,0,40.0,17.0,102.0,0.225,36.0,1.0,13.0,29.0,4.0,5.0,8.0,1.0,50.0,0.0,North Florida,3,13.333333333333334,5.666666666666667,34.0,12.0,0.3333333333333333,4.333333333333333,9.666666666666666,1.3333333333333333,1.6666666666666667,2.6666666666666665,0.3333333333333333,16.666666666666668
10/30/2018,@ Bethune-Cookman,3-0,0,3.0,0,43.0,22.0,129.0,0.163,40.0,8.0,10.0,53.0,2.0,0.0,12.0,0.0,57.0,1.0,Bethune-Cookman,3,14.333333333333334,7.333333333333333,43.0,13.333333333333334,2.6666666666666665,3.3333333333333335,17.666666666666668,0.6666666666666666,0.0,4.0,0.0,19.0
11/02/2018,@ NJIT,3-2,0,5.0,0,62.0,27.0,166.0,0.211,58.0,4.0,18.0,57.0,7.0,2.0,28.0,4.0,82.0,0.0,NJIT,5,12.4,5.4,33.2,11.6,0.8,3.6,11.4,1.4,0.4,5.6,0.8,16.4
11/04/2018,@ North Ala.,0-3,0,3.0,0,38.0,18.0,102.0,0.196,32.0,3.0,9.0,38.0,6.0,0.0,10.0,3.0,46.0,1.0,North Ala.,3,12.666666666666666,6.0,34.0,10.666666666666666,1.0,3.0,12.666666666666666,2.0,0.0,3.3333333333333335,1.0,15.333333333333334
11/09/2018,Lipscomb,0-3,0,3.0,0,24.0,15.0,88.0,0.102,23.0,3.0,7.0,41.0,5.0,4.0,8.0,1.0,35.0,3.0,Lipscomb,3,8.0,5.0,29.333333333333332,7.666666666666667,1.0,2.3333333333333335,13.666666666666666,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.3333333333333333,11.666666666666666
11/10/2018,Kennesaw St.,0-3,0,3.0,0,31.0,15.0,85.0,0.188,30.0,10.0,9.0,27.0,7.0,1.0,4.0,1.0,44.0,2.0,Kennesaw St.,3,10.333333333333334,5.0,28.333333333333332,10.0,3.3333333333333335,3.0,9.0,2.333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,14.666666666666666
