date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/12/2012,Stetson,3-0,3.0,0,47.0,15.0,106.0,0.0,44.0,5.0,7.0,57.0,3.0,6.0,2.0,58.0,1.0,Stetson,3,15.666666666666666,5.0,35.333333333333336,14.666666666666666,1.6666666666666667,2.3333333333333335,19.0,1.0,2.0,0.6666666666666666,19.333333333333332,0.3333333333333333
10/13/2012,FGCU,1-3,4.0,0,61.0,14.0,134.0,0.0,57.0,5.0,10.0,49.0,0.0,9.0,4.0,70.5,0.0,FGCU,4,15.25,3.5,33.5,14.25,1.25,2.5,12.25,0.0,2.25,1.0,17.625,0.0
10/19/2012,@ Jacksonville,3-2,5.0,0,63.0,31.0,174.0,0.0,61.0,1.0,9.0,65.0,2.0,20.0,2.0,76.0,2.0,Jacksonville,5,12.6,6.2,34.8,12.2,0.2,1.8,13.0,0.4,4.0,0.4,15.2,0.4
10/20/2012,@ North Florida,1-3,4.0,0,44.0,28.0,155.0,0.0,40.0,5.0,8.0,71.0,4.0,14.0,0.0,60.0,3.0,North Florida,4,11.0,7.0,38.75,10.0,1.25,2.0,17.75,1.0,3.5,0.0,15.0,0.75
10/23/2012,Eastern Ky.,3-0,3.0,0,42.0,14.0,85.0,0.0,40.0,7.0,6.0,33.0,2.0,4.0,0.0,53.0,0.0,Eastern Ky.,3,14.0,4.666666666666667,28.333333333333332,13.333333333333334,2.3333333333333335,2.0,11.0,0.6666666666666666,1.3333333333333333,0.0,17.666666666666668,0.0
10/26/2012,USC Upstate,3-0,3.0,0,51.0,17.0,114.0,0.0,49.0,2.0,5.0,59.0,0.0,10.0,0.0,58.0,0.0,USC Upstate,3,17.0,5.666666666666667,38.0,16.333333333333332,0.6666666666666666,1.6666666666666667,19.666666666666668,0.0,3.3333333333333335,0.0,19.333333333333332,0.0
10/27/2012,ETSU,2-3,5.0,0,56.0,19.0,161.0,0.0,54.0,6.0,4.0,66.0,1.0,16.0,1.0,71.0,2.0,ETSU,5,11.2,3.8,32.2,10.8,1.2,0.8,13.2,0.2,3.2,0.2,14.2,0.4
10/30/2012,@ Lipscomb,0-3,3.0,0,35.0,11.0,110.0,0.0,32.0,0.0,7.0,42.0,1.0,6.0,3.0,39.0,1.0,Lipscomb,3,11.666666666666666,3.6666666666666665,36.666666666666664,10.666666666666666,0.0,2.3333333333333335,14.0,0.3333333333333333,2.0,1.0,13.0,0.3333333333333333
11/02/2012,Mercer,3-0,3.0,0,47.0,16.0,98.0,0.0,41.0,4.0,4.0,53.0,2.0,6.0,1.0,56.0,1.0,Mercer,3,15.666666666666666,5.333333333333333,32.666666666666664,13.666666666666666,1.3333333333333333,1.3333333333333333,17.666666666666668,0.6666666666666666,2.0,0.3333333333333333,18.666666666666668,0.3333333333333333
11/03/2012,Kennesaw St.,3-1,4.0,0,60.0,20.0,157.0,0.0,57.0,6.0,3.0,75.0,0.0,16.0,2.0,74.0,1.0,Kennesaw St.,4,15.0,5.0,39.25,14.25,1.5,0.75,18.75,0.0,4.0,0.5,18.5,0.25
11/09/2012,@ Stetson,3-0,3.0,0,46.0,19.0,117.0,0.0,43.0,2.0,5.0,59.0,0.0,10.0,1.0,53.0,0.0,Stetson,3,15.333333333333334,6.333333333333333,39.0,14.333333333333334,0.6666666666666666,1.6666666666666667,19.666666666666668,0.0,3.3333333333333335,0.3333333333333333,17.666666666666668,0.0
11/10/2012,@ FGCU,3-2,5.0,0,66.0,33.0,199.0,0.0,64.0,7.0,10.0,92.0,4.0,6.0,0.0,80.0,1.0,FGCU,5,13.2,6.6,39.8,12.8,1.4,2.0,18.4,0.8,1.2,0.0,16.0,0.2
