date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent
08/31/2012,@  Holy Names,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holy Names
09/01/2012,@  Chico St.,1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chico St.
09/01/2012,@  Cal Poly Humboldt,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cal Poly Humboldt
09/07/2012,@  Northwest Nazarene,3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwest Nazarene
09/07/2012,@  Cal St. Monterey Bay,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cal St. Monterey Bay
09/08/2012,@  Cal St. East Bay,1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cal St. East Bay
09/08/2012,@  San Fran. St.,3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Fran. St.
09/11/2012,@  Azusa Pacific,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azusa Pacific
09/14/2012,@ Cal St. San Marcos,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cal St. San Marcos
09/21/2012,@  Notre Dame de Namur,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Notre Dame de Namur
09/22/2012,@  Academy of Art,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Academy of Art
09/25/2012,@  Point Loma,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Point Loma
09/28/2012,@  Utah Tech,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utah Tech
10/05/2012,@  Grand Canyon,3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grand Canyon
10/06/2012,@  Utah Tech,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utah Tech
10/10/2012,@  Hawaii Hilo,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hawaii Hilo
10/12/2012,@  Chaminade,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chaminade
10/13/2012,@  BYU-Hawaii,0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BYU-Hawaii
10/15/2012,@  Hawaii Pacific,1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hawaii Pacific
10/18/2012,@ Concordia Irvine,0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Concordia Irvine
10/23/2012,@  Point Loma,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Point Loma
10/27/2012,@  Grand Canyon,1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grand Canyon
11/02/2012,@  Fresno Pacific,1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fresno Pacific
11/03/2012,@  Azusa Pacific,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azusa Pacific
11/08/2012,@  Dominican (CA),3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominican 
11/10/2012,@  Holy Names,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holy Names
11/15/2012,@  Azusa Pacific,1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azusa Pacific
