date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/12/2012,@ Rutgers,1-3,4.0,0,46.0,16.0,138.0,0,43.0,1.0,11.0,45.0,1.0,14.0,5.0,55.0,3.0,Rutgers,4,11.5,4.0,34.5,10.75,0.25,2.75,11.25,0.25,3.5,1.25,13.75,0.75
10/14/2012,@ Seton Hall,1-3,4.0,0,49.0,21.0,155.0,0,48.0,4.0,5.0,55.0,1.0,20.0,9.0,64.0,0.0,Seton Hall,4,12.25,5.25,38.75,12.0,1.0,1.25,13.75,0.25,5.0,2.25,16.0,0.0
10/19/2012,Louisville,0-3,3.0,0,30.0,26.0,103.0,0,26.0,2.0,6.0,36.0,3.0,8.0,0.0,39.0,1.0,Louisville,3,10.0,8.666666666666666,34.333333333333336,8.666666666666666,0.6666666666666666,2.0,12.0,1.0,2.6666666666666665,0.0,13.0,0.3333333333333333
10/21/2012,Cincinnati,0-3,3.0,0,34.0,28.0,109.0,0,32.0,4.0,4.0,39.0,4.0,6.0,0.0,45.0,0.0,Cincinnati,3,11.333333333333334,9.333333333333334,36.333333333333336,10.666666666666666,1.3333333333333333,1.3333333333333333,13.0,1.3333333333333333,2.0,0.0,15.0,0.0
10/27/2012,@ Villanova,1-3,4.0,0,45.0,22.0,142.0,0,41.0,3.0,6.0,61.0,1.0,18.0,4.0,58.0,3.0,Villanova,4,11.25,5.5,35.5,10.25,0.75,1.5,15.25,0.25,4.5,1.0,14.5,0.75
10/28/2012,@ Georgetown,3-2,5.0,0,55.0,28.0,144.0,0,52.0,4.0,6.0,44.0,1.0,30.0,0.0,75.0,1.0,Georgetown,5,11.0,5.6,28.8,10.4,0.8,1.2,8.8,0.2,6.0,0.0,15.0,0.2
11/02/2012,St. John's (NY),1-3,4.0,0,52.0,22.0,122.0,0,50.0,3.0,5.0,34.0,7.0,10.0,0.0,67.0,0.0,St. John's ,4,13.0,5.5,30.5,12.5,0.75,1.25,8.5,1.75,2.5,0.0,16.75,0.0
11/04/2012,UConn,0-3,3.0,0,36.0,19.0,102.0,0,36.0,1.0,6.0,41.0,1.0,0.0,0.0,38.0,0.0,UConn,3,12.0,6.333333333333333,34.0,12.0,0.3333333333333333,2.0,13.666666666666666,0.3333333333333333,0.0,0.0,12.666666666666666,0.0
11/09/2012,Villanova,3-0,3.0,0,41.0,9.0,100.0,0,39.0,3.0,8.0,43.0,2.0,14.0,0.0,53.0,0.0,Villanova,3,13.666666666666666,3.0,33.333333333333336,13.0,1.0,2.6666666666666665,14.333333333333334,0.6666666666666666,4.666666666666667,0.0,17.666666666666668,0.0
11/11/2012,Seton Hall,3-2,5.0,0,64.0,37.0,215.0,0,63.0,3.0,5.0,89.0,5.0,30.0,0.0,87.0,0.0,Seton Hall,5,12.8,7.4,43.0,12.6,0.6,1.0,17.8,1.0,6.0,0.0,17.4,0.0
