date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/26/2019,UNI,2-3,5.0,0.0,0,61.0,22.0,166.0,0.235,59.0,3.0,2.0,71.0,3.0,2.0,2.0,2.0,67.0,0.0,UNI,5,12.2,4.4,33.2,11.8,0.6,0.4,14.2,0.4,0.4,0.4,13.4
11/01/2019,@ Loyola Chicago,0-3,3.0,0.0,0,25.0,22.0,108.0,0.028,24.0,3.0,4.0,39.0,3.0,0.0,6.0,1.0,31.0,1.0,Loyola Chicago,3,8.333333333333334,7.333333333333333,36.0,8.0,1.0,1.3333333333333333,13.0,0.0,2.0,0.3333333333333333,10.333333333333334
11/02/2019,@ Valparaiso,0-3,3.0,1.0,0,36.0,20.0,122.0,0.131,32.0,1.0,4.0,48.0,2.0,1.0,2.0,2.0,39.0,0.0,Valparaiso,3,12.0,6.666666666666667,40.666666666666664,10.666666666666666,0.3333333333333333,1.3333333333333333,16.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,13.0
11/04/2019,Bradley,2-3,5.0,0.0,0,61.0,25.0,191.0,0.188,58.0,5.0,8.0,102.0,8.0,0.0,10.0,2.0,71.0,0.0,Bradley,5,12.2,5.0,38.2,11.6,1.0,1.6,20.4,0.0,2.0,0.4,14.2
11/08/2019,Indiana St.,3-0,3.0,0.0,0,50.0,18.0,135.0,0.237,46.0,5.0,9.0,73.0,1.0,4.0,10.0,2.0,64.0,0.0,Indiana St.,3,16.666666666666668,6.0,45.0,15.333333333333334,1.6666666666666667,3.0,24.333333333333332,1.3333333333333333,3.3333333333333335,0.6666666666666666,21.333333333333332
11/15/2019,Missouri St.,3-1,4.0,0.0,0,63.0,18.0,163.0,0.276,60.0,2.0,7.0,80.0,3.0,0.0,18.0,2.0,74.0,0.0,Missouri St.,4,15.75,4.5,40.75,15.0,0.5,1.75,20.0,0.0,4.5,0.5,18.5
11/16/2019,Southern Ill.,2-3,5.0,0.0,0,62.0,29.0,224.0,0.147,58.0,3.0,12.0,126.0,3.0,0.0,20.0,2.0,75.0,0.0,Southern Ill.,5,12.4,5.8,44.8,11.6,0.6,2.4,25.2,0.0,4.0,0.4,15.0
11/22/2019,@ Bradley,0-3,3.0,0.0,0,29.0,20.0,107.0,0.084,29.0,2.0,6.0,53.0,7.0,0.0,6.0,0.0,34.0,1.0,Bradley,3,9.666666666666666,6.666666666666667,35.666666666666664,9.666666666666666,0.6666666666666666,2.0,17.666666666666668,0.0,2.0,0.0,11.333333333333334
11/23/2019,@ Illinois St.,0-3,3.0,0.0,0,29.0,20.0,101.0,0.089,29.0,1.0,3.0,38.0,5.0,2.0,10.0,0.0,37.0,0.0,Illinois St.,3,9.666666666666666,6.666666666666667,33.666666666666664,9.666666666666666,0.3333333333333333,1.0,12.666666666666666,0.6666666666666666,3.3333333333333335,0.0,12.333333333333334
11/28/2019,"Illinois St. @ Cedar Falls, IA",0-3,3.0,1.0,0,35.0,23.0,137.0,0.088,35.0,6.0,5.0,71.0,4.0,0.0,10.0,0.0,46.0,1.0,Illinois St.,3,11.666666666666666,7.666666666666667,45.666666666666664,11.666666666666666,2.0,1.6666666666666667,23.666666666666668,0.0,3.3333333333333335,0.0,15.333333333333334
