date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/30/2019,Stanford,0-3,3.0,0.0,0,20.0,15.0,98.0,0.051,18.0,0.0,5.0,36.0,6.0,0.0,8.0,3.0,24.0,2.0,Stanford,3,6.666666666666667,5.0,32.666666666666664,6.0,0.0,1.6666666666666667,12.0,0.0,2.6666666666666665,1.0,8.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/31/2019,Michigan St.,0-3,3.0,0.0,0,26.0,21.0,114.0,0.044,25.0,4.0,10.0,46.0,2.0,1.0,10.0,3.0,36.0,3.0,Michigan St.,3,8.666666666666666,7.0,38.0,8.333333333333334,1.3333333333333333,3.333333333333333,15.333333333333334,0.3333333333333333,3.333333333333333,1.0,12.0,,3.3333333333333335,,2.5,,16.333333333333332,,0.0255,,3.0,,0.0,,0.8333333333333334,,6.0,,0.0,,1.3333333333333333,,0.5,,4.0
09/06/2019,"Northern Colo. @ Laramie, Wyo.",2-3,5.0,0.0,0,47.0,31.0,173.0,0.092,43.0,4.0,10.0,77.0,5.0,2.0,24.0,0.0,65.0,1.0,Northern Colo.,5,9.4,6.2,34.6,8.6,0.8,2.0,15.4,0.4,4.8,0.0,13.0,,5.111111111111111,,4.0,,23.555555555555554,,0.03166666666666667,,4.777777777777778,,0.4444444444444444,,1.6666666666666667,,9.111111111111112,,0.1111111111111111,,2.0,,0.6666666666666666,,6.666666666666667
09/06/2019,@ Wyoming,0-3,3.0,0.0,0,40.0,26.0,136.0,0.103,39.0,5.0,9.0,50.0,3.0,1.0,8.0,0.0,50.0,0.0,Wyoming,3,13.333333333333334,8.666666666666666,45.333333333333336,13.0,1.6666666666666667,3.0,16.666666666666668,0.3333333333333333,2.6666666666666665,0.0,16.666666666666668,8.244444444444445,6.183333333333334,6.066666666666666,4.55,35.08888888888889,26.316666666666663,0.06233333333333333,0.04675,7.644444444444445,5.733333333333333,0.7111111111111111,0.5333333333333333,2.3333333333333335,1.75,14.244444444444445,10.683333333333334,0.24444444444444446,0.18333333333333335,3.5999999999999996,2.7,0.6666666666666666,0.5,11.0,8.25
09/07/2019,"Buffalo @ Laramie, Wyo.",2-3,5.0,0.0,0,46.0,26.0,139.0,0.144,44.0,7.0,12.0,44.0,10.0,11.0,10.0,3.0,69.0,1.0,Buffalo,5,9.2,5.2,27.8,8.8,1.4,2.4,8.8,2.2,2.0,0.6,13.8,10.466666666666667,7.613333333333334,7.288888888888889,5.373333333333333,39.31111111111111,30.119999999999997,0.07966666666666666,0.057999999999999996,9.977777777777778,7.186666666666667,1.2666666666666666,0.76,2.7777777777777772,2.0,15.800000000000002,11.88,0.35555555555555557,0.21333333333333332,3.5999999999999996,2.6933333333333334,0.3333333333333333,0.4,13.888888888888891,9.933333333333334
09/13/2019,@ Ohio,0-3,3.0,1.0,0,25.0,17.0,105.0,0.076,21.0,2.0,8.0,40.0,9.0,1.0,12.0,5.0,34.0,4.0,Ohio,3,8.333333333333334,5.666666666666667,35.0,7.0,0.6666666666666666,2.6666666666666665,13.333333333333334,0.3333333333333333,4.0,1.6666666666666667,11.333333333333334,10.644444444444446,7.877777777777777,6.688888888888889,5.344444444444445,35.91111111111111,29.733333333333334,0.11299999999999999,0.07233333333333332,10.133333333333335,7.455555555555556,1.288888888888889,0.8666666666666666,2.466666666666667,2.066666666666667,13.622222222222222,11.366666666666667,0.9777777777777779,0.5444444444444444,3.155555555555555,2.577777777777778,0.19999999999999998,0.43333333333333335,14.488888888888889,10.577777777777778
09/13/2019,"Virginia @ Athens, OH",1-3,4.0,1.0,0,30.0,25.0,128.0,0.039,26.0,8.0,1.0,56.0,8.0,0.0,12.0,6.0,44.0,2.0,Virginia,4,7.5,6.25,32.0,6.5,2.0,0.25,14.0,0.0,3.0,1.5,11.0,10.28888888888889,7.942857142857143,6.511111111111112,5.390476190476191,36.044444444444444,30.485714285714288,0.10766666666666667,0.07285714285714284,9.6,7.390476190476191,1.2444444444444445,0.838095238095238,2.6888888888888887,2.1523809523809523,12.933333333333335,11.647619047619047,0.9555555555555557,0.5142857142857143,2.888888888888889,2.7809523809523813,0.7555555555555555,0.6095238095238095,13.933333333333335,10.685714285714285
09/14/2019,"UConn @ Athens, OH",3-0,3.0,1.0,0,45.0,12.0,120.0,0.275,44.0,1.0,6.0,61.0,3.0,0.0,12.0,2.0,52.0,2.0,UConn,3,15.0,4.0,40.0,14.666666666666666,0.3333333333333333,2.0,20.33333333333333,0.0,4.0,0.6666666666666666,17.333333333333332,8.344444444444445,7.8875,5.705555555555556,5.497916666666667,31.600000000000005,30.675,0.08633333333333333,0.06862499999999999,7.433333333333334,7.279166666666667,1.3555555555555554,0.9833333333333333,1.7722222222222221,1.9145833333333333,12.044444444444444,11.941666666666666,0.8444444444444446,0.45,3.0,2.8083333333333336,1.2555555555555555,0.7208333333333333,12.044444444444444,10.725
09/17/2019,@ The Citadel,3-0,3.0,0.0,0,35.0,15.0,112.0,0.179,31.0,7.0,6.0,62.0,3.0,3.0,2.0,2.0,46.0,0.0,The Citadel,3,11.666666666666666,5.0,37.333333333333336,10.333333333333334,2.333333333333333,2.0,20.666666666666668,1.0,0.6666666666666666,0.6666666666666666,15.333333333333334,10.277777777777779,8.677777777777777,5.305555555555556,5.3314814814814815,35.666666666666664,31.71111111111111,0.13,0.09155555555555556,9.388888888888888,8.100000000000001,1.0000000000000002,0.911111111111111,1.6388888888888886,1.924074074074074,15.888888888888886,12.874074074074073,0.1111111111111111,0.4,3.6666666666666665,2.940740740740741,1.277777777777778,0.7148148148148148,13.222222222222223,11.459259259259259
09/20/2019,Charleston So.,3-0,3.0,0.0,0,42.0,12.0,99.0,0.303,41.0,6.0,6.0,41.0,1.0,3.0,20.0,3.0,61.0,1.0,Charleston So.,3,14.0,4.0,33.0,13.666666666666666,2.0,2.0,13.666666666666666,1.0,6.666666666666667,1.0,20.33333333333333,11.388888888888888,8.976666666666667,5.083333333333333,5.298333333333334,36.44444444444445,32.273333333333326,0.16433333333333333,0.10029999999999999,10.5,8.323333333333334,1.5555555555555554,1.0533333333333332,1.4166666666666667,1.9316666666666666,18.333333333333332,13.653333333333332,0.3333333333333333,0.45999999999999996,2.555555555555556,2.713333333333334,0.9444444444444445,0.7100000000000001,14.555555555555555,11.846666666666666
