date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/13/2019,@ Omaha,3-2,5.0,1.0,0,59.0,26.0,173.0,0.191,57.0,5.0,5.0,78.0,3.0,1.0,12.0,3.0,71.0,2.0,Omaha,5,11.8,5.2,34.6,11.4,1.0,1.0,15.6,0.2,2.4,0.6,14.2
10/18/2019,@ South Dakota St.,3-2,5.0,1.0,0,67.0,34.0,210.0,0.157,64.0,4.0,6.0,94.0,4.0,2.0,12.0,0.0,79.0,1.0,South Dakota St.,5,13.4,6.8,42.0,12.8,0.8,1.2,18.8,0.4,2.4,0.0,15.8
10/20/2019,"South Dakota @ Sioux Falls, S.D. (Pentagon)",0-3,3.0,1.0,0,31.0,19.0,127.0,0.094,30.0,2.0,4.0,57.0,6.0,1.0,12.0,0.0,40.0,0.0,South Dakota,3,10.333333333333334,6.333333333333333,42.333333333333336,10.0,0.6666666666666666,1.3333333333333333,19.0,0.3333333333333333,4.0,0.0,13.333333333333334
10/22/2019,@ Western Ill.,3-2,5.0,1.0,0,68.0,25.0,174.0,0.247,65.0,6.0,8.0,75.0,4.0,0.0,12.0,0.0,80.0,1.0,Western Ill.,5,13.6,5.0,34.8,13.0,1.2,1.6,15.0,0.0,2.4,0.0,16.0
10/25/2019,@ Denver,1-3,4.0,1.0,0,40.0,22.0,135.0,0.133,37.0,1.0,5.0,51.0,6.0,6.0,8.0,0.0,51.0,2.0,Denver,4,10.0,5.5,33.75,9.25,0.25,1.25,12.75,1.5,2.0,0.0,12.75
11/01/2019,North Dakota St.,3-1,4.0,0.0,0,65.0,18.0,155.0,0.303,64.0,3.0,10.0,80.0,2.0,1.0,10.0,1.0,74.0,1.0,North Dakota St.,4,16.25,4.5,38.75,16.0,0.75,2.5,20.0,0.25,2.5,0.25,18.5
11/03/2019,North Dakota,3-1,4.0,0.0,0,68.0,20.0,169.0,0.284,63.0,4.0,9.0,77.0,3.0,2.0,12.0,0.0,80.0,1.0,North Dakota,4,17.0,5.0,42.25,15.75,1.0,2.25,19.25,0.5,3.0,0.0,20.0
11/08/2019,Omaha,1-3,4.0,0.0,0,56.0,27.0,175.0,0.166,51.0,5.0,10.0,66.0,4.0,5.0,10.0,2.0,71.0,1.0,Omaha,4,14.0,6.75,43.75,12.75,1.25,2.5,16.5,1.25,2.5,0.5,17.75
11/10/2019,@ Oral Roberts,3-0,3.0,1.0,0,42.0,22.0,130.0,0.154,39.0,4.0,4.0,43.0,2.0,1.0,22.0,3.0,58.0,2.0,Oral Roberts,3,14.0,7.333333333333333,43.333333333333336,13.0,1.3333333333333333,1.3333333333333333,14.333333333333334,0.3333333333333333,7.333333333333333,1.0,19.333333333333332
11/15/2019,South Dakota St.,3-0,3.0,0.0,0,49.0,16.0,122.0,0.27,45.0,4.0,4.0,53.0,2.0,2.0,8.0,1.0,59.0,1.0,South Dakota St.,3,16.333333333333332,5.333333333333333,40.666666666666664,15.0,1.3333333333333333,1.3333333333333333,17.666666666666668,0.6666666666666666,2.6666666666666665,0.3333333333333333,19.666666666666668
11/17/2019,South Dakota,0-3,3.0,0.0,0,40.0,13.0,119.0,0.227,39.0,4.0,5.0,39.0,2.0,1.0,6.0,3.0,48.0,0.0,South Dakota,3,13.333333333333334,4.333333333333333,39.666666666666664,13.0,1.3333333333333333,1.6666666666666667,13.0,0.3333333333333333,2.0,1.0,16.0
11/22/2019,"Oral Roberts @ Denver, CO",3-1,4.0,1.0,0,51.0,24.0,135.0,0.2,52.0,4.0,5.0,57.0,4.0,2.0,18.0,5.0,66.0,3.0,Oral Roberts,4,12.75,6.0,33.75,13.0,1.0,1.25,14.25,0.5,4.5,1.25,16.5
11/23/2019,@ Denver,1-3,4.0,1.0,0,47.0,13.0,119.0,0.286,46.0,3.0,7.0,41.0,7.0,3.0,22.0,2.0,64.0,1.0,Denver,4,11.75,3.25,29.75,11.5,0.75,1.75,10.25,0.75,5.5,0.5,16.0
12/05/2019,@ Bowling Green,1-3,4.0,1.0,0,42.0,24.0,155.0,0.116,38.0,3.0,6.0,63.0,9.0,1.0,18.0,2.0,55.0,0.0,Bowling Green,4,10.5,6.0,38.75,9.5,0.75,1.5,15.75,0.25,4.5,0.5,13.75
