date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
10/20/2023,@ Little Rock,1-3,4.0,45.0,22.0,129.0,0.178,41.0,7.0,5.0,61.0,86.0,16.0,4.0,18.0,0.0,65.0,0.0,Little Rock,4,11.25,5.5,32.25,10.25,1.75,1.25,15.25,4.0,1.0,4.5,0.0,16.25,0.0
10/21/2023,@ Little Rock,1-3,4.0,48.0,28.0,168.0,0.119,44.0,6.0,12.0,80.0,84.0,6.0,3.0,18.0,0.0,66.0,0.0,Little Rock,4,12.0,7.0,42.0,11.0,1.5,3.0,20.0,1.5,0.75,4.5,0.0,16.5,0.0
10/27/2023,@ SIUE,0-3,3.0,33.0,16.0,101.0,0.168,31.0,4.0,8.0,39.0,66.0,6.0,2.0,4.0,3.0,41.0,1.0,SIUE,3,11.0,5.333333333333333,33.666666666666664,10.333333333333334,1.3333333333333333,2.6666666666666665,13.0,2.0,0.6666666666666666,1.3333333333333333,1.0,13.666666666666666,0.3333333333333333
10/28/2023,@ SIUE,2-3,5.0,49.0,26.0,148.0,0.155,48.0,7.0,8.0,63.0,93.0,10.0,1.0,14.0,0.0,64.0,1.0,SIUE,5,9.8,5.2,29.6,9.6,1.4,1.6,12.6,2.0,0.2,2.8,0.0,12.8,0.2
11/03/2023,Lindenwood,0-3,3.0,40.0,13.0,106.0,0.255,39.0,2.0,4.0,52.0,70.0,11.0,3.0,4.0,1.0,47.0,1.0,Lindenwood,3,13.333333333333334,4.333333333333333,35.333333333333336,13.0,0.6666666666666666,1.3333333333333333,17.333333333333332,3.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,15.666666666666666,0.3333333333333333
11/04/2023,Lindenwood,1-3,4.0,38.0,18.0,119.0,0.168,32.0,2.0,7.0,42.0,84.0,9.0,4.0,10.0,2.0,49.0,3.0,Lindenwood,4,9.5,4.5,29.75,8.0,0.5,1.75,10.5,2.25,1.0,2.5,0.5,12.25,0.75
11/10/2023,@ Western Ill.,0-3,3.0,31.0,20.0,98.0,0.112,28.0,2.0,4.0,41.0,66.0,5.0,3.0,4.0,0.0,38.0,3.0,Western Ill.,3,10.333333333333334,6.666666666666667,32.666666666666664,9.333333333333334,0.6666666666666666,1.3333333333333333,13.666666666666666,1.6666666666666667,1.0,1.3333333333333333,0.0,12.666666666666666,1.0
11/11/2023,@ Western Ill.,1-3,4.0,63.0,29.0,164.0,0.207,56.0,3.0,7.0,74.0,94.0,14.0,0.0,14.0,0.0,73.0,2.0,Western Ill.,4,15.75,7.25,41.0,14.0,0.75,1.75,18.5,3.5,0.0,3.5,0.0,18.25,0.5
11/15/2023,Morehead St.,0-3,3.0,32.0,15.0,105.0,0.162,29.0,3.0,9.0,47.0,63.0,8.0,0.0,14.0,1.0,42.0,0.0,Morehead St.,3,10.666666666666666,5.0,35.0,9.666666666666666,1.0,3.0,15.666666666666666,2.6666666666666665,0.0,4.666666666666667,0.3333333333333333,14.0,0.0
11/16/2023,Morehead St.,2-3,5.0,43.0,21.0,140.0,0.157,39.0,6.0,9.0,67.0,90.0,7.0,7.0,18.0,1.0,65.0,2.0,Morehead St.,5,8.6,4.2,28.0,7.8,1.2,1.8,13.4,1.4,1.4,3.6,0.2,13.0,0.4
