date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set,sets_from_result
08/25/2023,Alabama A&M,3-0,3.0,29.0,11.0,75.0,0.24,26.0,6.0,9.0,30.0,44.0,7.0,3.0,14.0,0.0,45.0,0.0,Alabama A&M,9.666666666666666,3.6666666666666665,25.0,8.666666666666666,2.0,3.0,10.0,2.333333333333333,1.0,4.666666666666667,0.0,15.0,0.0,3
08/25/2023,UMES,2-3,5.0,46.0,26.0,128.0,0.156,43.0,9.0,14.0,39.0,88.0,7.0,3.0,14.0,0.0,65.0,1.0,UMES,9.2,5.2,25.6,8.6,1.8,2.8,7.8,1.4,0.6,2.8,0.0,13.0,0.2,5
08/26/2023,N.C. Central,3-2,5.0,50.0,21.0,134.0,0.216,50.0,12.0,11.0,48.0,90.0,5.0,2.0,14.0,4.0,71.0,1.0,N.C. Central,10.0,4.2,26.8,10.0,2.4,2.2,9.6,1.0,0.4,2.8,0.8,14.2,0.2,5
08/26/2023,UMES,3-0,3.0,36.0,12.0,83.0,0.289,33.0,3.0,7.0,28.0,54.0,3.0,5.0,6.0,0.0,47.0,1.0,UMES,12.0,4.0,27.666666666666668,11.0,1.0,2.3333333333333335,9.333333333333334,1.0,1.6666666666666667,2.0,0.0,15.666666666666666,0.3333333333333333,3
08/30/2023,@ Furman,0-3,3.0,23.0,17.0,87.0,0.069,21.0,3.0,5.0,33.0,61.0,10.0,3.0,12.0,4.0,35.0,1.0,Furman,7.666666666666667,5.666666666666667,29.0,7.0,1.0,1.6666666666666667,11.0,3.333333333333333,1.0,4.0,1.3333333333333333,11.666666666666666,0.3333333333333333,3
09/01/2023,Furman,0-3,3.0,31.0,23.0,108.0,0.074,31.0,2.0,8.0,43.0,64.0,5.0,4.0,2.0,1.0,38.0,0.0,Furman,10.333333333333334,7.666666666666667,36.0,10.333333333333334,0.6666666666666666,2.6666666666666665,14.333333333333334,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,12.666666666666666,0.0,3
09/05/2023,@ Western Caro.,0-3,3.0,27.0,23.0,99.0,0.04,27.0,5.0,1.0,36.0,69.0,8.0,0.0,10.0,1.0,37.0,0.0,Western Caro.,9.0,7.666666666666667,33.0,9.0,1.6666666666666667,0.3333333333333333,12.0,2.6666666666666665,0.0,3.3333333333333335,0.3333333333333333,12.333333333333334,0.0,3
09/08/2023,"The Citadel @ Charlotte, NC",0-3,3.0,28.0,19.0,94.0,0.096,28.0,6.0,5.0,40.0,67.0,6.0,4.0,8.0,1.0,42.0,0.0,The Citadel,9.333333333333334,6.333333333333333,31.333333333333332,9.333333333333334,2.0,1.6666666666666667,13.333333333333334,2.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,14.0,0.0,3
09/09/2023,"Marshall @ Charlotte, NC",3-1,4.0,61.0,28.0,147.0,0.224,57.0,7.0,12.0,52.0,86.0,4.0,2.0,8.0,3.0,74.0,1.0,Marshall,15.25,7.0,36.75,14.25,1.75,3.0,13.0,1.0,0.5,2.0,0.75,18.5,0.25,4
09/09/2023,"South Carolina St. @ Charlotte, NC",3-0,3.0,44.0,12.0,95.0,0.337,39.0,4.0,8.0,35.0,44.0,3.0,1.0,8.0,2.0,53.0,1.0,South Carolina St.,14.666666666666666,4.0,31.666666666666668,13.0,1.3333333333333333,2.6666666666666665,11.666666666666666,1.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,17.666666666666668,0.3333333333333333,3
09/12/2023,@ Ga. Southern,0-3,3.0,25.0,17.0,83.0,0.096,22.0,2.0,6.0,30.0,69.0,9.0,0.0,2.0,1.0,28.0,3.0,Ga. Southern,8.333333333333334,5.666666666666667,27.666666666666668,7.333333333333333,0.6666666666666666,2.0,10.0,3.0,0.0,0.6666666666666666,0.3333333333333333,9.333333333333334,1.0,3
09/16/2023,"Charlotte @ Greensboro, NC",2-3,5.0,58.0,30.0,178.0,0.157,51.0,7.0,14.0,68.0,104.0,8.0,2.0,18.0,3.0,76.0,0.0,Charlotte,11.6,6.0,35.6,10.2,1.4,2.8,13.6,1.6,0.4,3.6,0.6,15.2,0.0,5
09/16/2023,@ UNC Greensboro,3-2,5.0,53.0,23.0,147.0,0.204,47.0,7.0,8.0,57.0,89.0,8.0,3.0,18.0,3.0,72.0,2.0,UNC Greensboro,10.6,4.6,29.4,9.4,1.4,1.6,11.4,1.6,0.6,3.6,0.6,14.4,0.4,5
09/23/2023,@ USC Upstate,0-3,3.0,34.0,27.0,107.0,0.065,34.0,3.0,13.0,34.0,68.0,5.0,3.0,6.0,0.0,43.0,0.0,USC Upstate,11.333333333333334,9.0,35.666666666666664,11.333333333333334,1.0,4.333333333333333,11.333333333333334,1.6666666666666667,1.0,2.0,0.0,14.333333333333334,0.0,3
