date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set,sets_from_result
09/29/2023,Presbyterian,1-3,4.0,51.0,43.0,147.0,0.054,49.0,11.0,14.0,54.0,90.0,9.0,1.0,10.0,1.0,68.0,1.0,Presbyterian,12.75,10.75,36.75,12.25,2.75,3.5,13.5,2.25,0.25,2.5,0.25,17.0,0.25,4
09/30/2023,Charleston So.,1-3,4.0,53.0,24.0,168.0,0.173,49.0,4.0,5.0,83.0,87.0,7.0,3.0,6.0,3.0,63.0,0.0,Charleston So.,13.25,6.0,42.0,12.25,1.0,1.25,20.75,1.75,0.75,1.5,0.75,15.75,0.0,4
10/06/2023,@ Radford,0-3,3.0,28.0,14.0,84.0,0.167,27.0,4.0,10.0,28.0,68.0,3.0,1.0,12.0,1.0,39.0,0.0,Radford,9.333333333333334,4.666666666666667,28.0,9.0,1.3333333333333333,3.3333333333333335,9.333333333333334,1.0,0.3333333333333333,4.0,0.3333333333333333,13.0,0.0,3
10/07/2023,@ High Point,0-3,3.0,27.0,16.0,85.0,0.129,26.0,3.0,5.0,31.0,66.0,10.0,1.0,8.0,3.0,35.0,3.0,High Point,9.0,5.333333333333333,28.333333333333332,8.666666666666666,1.0,1.6666666666666667,10.333333333333334,3.333333333333333,0.3333333333333333,2.6666666666666665,1.0,11.666666666666666,1.0,3
10/13/2023,@ Gardner-Webb,0-3,3.0,26.0,14.0,98.0,0.122,26.0,3.0,12.0,44.0,64.0,11.0,7.0,8.0,1.0,40.0,0.0,Gardner-Webb,8.666666666666666,4.666666666666667,32.666666666666664,8.666666666666666,1.0,4.0,14.666666666666666,3.6666666666666665,2.3333333333333335,2.6666666666666665,0.3333333333333333,13.333333333333334,0.0,3
10/14/2023,@ Winthrop,0-3,3.0,33.0,20.0,99.0,0.131,28.0,1.0,5.0,36.0,68.0,6.0,1.0,10.0,2.0,40.0,1.0,Winthrop,11.0,6.666666666666667,33.0,9.333333333333334,0.3333333333333333,1.6666666666666667,12.0,2.0,0.3333333333333333,3.3333333333333335,0.6666666666666666,13.333333333333334,0.3333333333333333,3
10/17/2023,@ Middle Tenn.,0-3,3.0,22.0,11.0,63.0,0.175,21.0,3.0,8.0,20.0,61.0,12.0,1.0,2.0,4.0,27.0,1.0,Middle Tenn.,7.333333333333333,3.6666666666666665,21.0,7.0,1.0,2.6666666666666665,6.666666666666667,4.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,9.0,0.3333333333333333,3
10/20/2023,High Point,0-3,3.0,26.0,21.0,85.0,0.059,23.0,2.0,9.0,33.0,62.0,9.0,1.0,8.0,2.0,33.0,0.0,High Point,8.666666666666666,7.0,28.333333333333332,7.666666666666667,0.6666666666666666,3.0,11.0,3.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,11.0,0.0,3
10/21/2023,Radford,0-3,3.0,33.0,18.0,91.0,0.165,29.0,4.0,12.0,28.0,70.0,11.0,4.0,6.0,0.0,44.0,2.0,Radford,11.0,6.0,30.333333333333332,9.666666666666666,1.3333333333333333,4.0,9.333333333333334,3.6666666666666665,1.3333333333333333,2.0,0.0,14.666666666666666,0.6666666666666666,3
10/27/2023,@ Charleston So.,0-3,3.0,32.0,18.0,90.0,0.156,31.0,2.0,10.0,38.0,67.0,8.0,2.0,10.0,0.0,41.0,1.0,Charleston So.,10.666666666666666,6.0,30.0,10.333333333333334,0.6666666666666666,3.3333333333333335,12.666666666666666,2.6666666666666665,0.6666666666666666,3.3333333333333335,0.0,13.666666666666666,0.3333333333333333,3
10/28/2023,@ Presbyterian,3-1,4.0,51.0,26.0,119.0,0.21,48.0,8.0,6.0,49.0,75.0,4.0,2.0,8.0,1.0,65.0,1.0,Presbyterian,12.75,6.5,29.75,12.0,2.0,1.5,12.25,1.0,0.5,2.0,0.25,16.25,0.25,4
11/03/2023,Winthrop,0-3,3.0,29.0,24.0,108.0,0.046,26.0,4.0,11.0,38.0,68.0,4.0,6.0,4.0,4.0,41.0,1.0,Winthrop,9.666666666666666,8.0,36.0,8.666666666666666,1.3333333333333333,3.6666666666666665,12.666666666666666,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,13.666666666666666,0.3333333333333333,3
11/04/2023,Gardner-Webb,0-3,3.0,33.0,25.0,108.0,0.074,32.0,1.0,8.0,41.0,70.0,7.0,8.0,6.0,1.0,45.0,0.0,Gardner-Webb,11.0,8.333333333333334,36.0,10.666666666666666,0.3333333333333333,2.6666666666666665,13.666666666666666,2.333333333333333,2.6666666666666665,2.0,0.3333333333333333,15.0,0.0,3
11/11/2023,USC Upstate,3-1,4.0,65.0,28.0,165.0,0.224,63.0,5.0,8.0,69.0,96.0,6.0,3.0,10.0,1.0,78.0,3.0,USC Upstate,16.25,7.0,41.25,15.75,1.25,2.0,17.25,1.5,0.75,2.5,0.25,19.5,0.75,4
