date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/08/2022,@ Ball St.,1-3,4.0,50.0,20.0,155.0,0.194,50.0,5.0,5.0,66.0,88.0,6.0,2.0,12.0,2.0,8.0,63.0,0.0,Ball St.,4,12.5,5.0,38.75,12.5,1.25,1.25,16.5,1.5,0.5,3.0,0.5,15.75
10/14/2022,@ Ohio,3-2,5.0,66.0,25.0,178.0,0.23,63.0,7.0,15.0,79.0,95.0,2.0,4.0,6.0,3.0,7.0,80.0,4.0,Ohio,5,13.2,5.0,35.6,12.6,1.4,3.0,15.8,0.4,0.8,1.2,0.6,16.0
10/15/2022,@ Ohio,2-3,5.0,63.0,16.0,189.0,0.249,53.0,4.0,7.0,81.0,109.0,7.0,4.0,16.0,5.0,12.0,79.0,2.0,Ohio,5,12.6,3.2,37.8,10.6,0.8,1.4,16.2,1.4,0.8,3.2,1.0,15.8
10/20/2022,Kent St.,3-0,3.0,42.0,13.0,119.0,0.244,36.0,5.0,4.0,56.0,51.0,2.0,3.0,12.0,2.0,9.0,56.0,0.0,Kent St.,3,14.0,4.333333333333333,39.666666666666664,12.0,1.6666666666666667,1.3333333333333333,18.666666666666668,0.6666666666666666,1.0,4.0,0.6666666666666666,18.666666666666668
10/21/2022,Kent St.,3-0,3.0,47.0,15.0,114.0,0.281,42.0,9.0,7.0,48.0,49.0,0.0,0.0,10.0,0.0,5.0,61.0,0.0,Kent St.,3,15.666666666666666,5.0,38.0,14.0,3.0,2.3333333333333335,16.0,0.0,0.0,3.3333333333333335,0.0,20.333333333333332
10/28/2022,Eastern Mich.,3-1,4.0,60.0,15.0,138.0,0.326,55.0,11.0,8.0,63.0,65.0,4.0,0.0,12.0,0.0,6.0,77.0,0.0,Eastern Mich.,4,15.0,3.75,34.5,13.75,2.75,2.0,15.75,1.0,0.0,3.0,0.0,19.25
10/29/2022,Central Mich.,3-2,5.0,70.0,31.0,199.0,0.196,66.0,3.0,9.0,100.0,102.0,8.0,3.0,10.0,0.0,8.0,81.0,0.0,Central Mich.,5,14.0,6.2,39.8,13.2,0.6,1.8,20.0,1.6,0.6,2.0,0.0,16.2
11/04/2022,@ Miami (OH),3-1,4.0,53.0,26.0,138.0,0.196,42.0,7.0,6.0,53.0,76.0,3.0,2.0,20.0,1.0,12.0,72.0,0.0,Miami ,4,13.25,6.5,34.5,10.5,1.75,1.5,13.25,0.75,0.5,5.0,0.25,18.0
11/05/2022,@ Miami (OH),3-0,3.0,41.0,15.0,101.0,0.257,35.0,6.0,7.0,40.0,49.0,1.0,5.0,10.0,0.0,10.0,57.0,0.0,Miami ,3,13.666666666666666,5.0,33.666666666666664,11.666666666666666,2.0,2.3333333333333335,13.333333333333334,0.3333333333333333,1.6666666666666667,3.3333333333333335,0.0,19.0
11/11/2022,Bowling Green,2-3,5.0,59.0,32.0,183.0,0.148,58.0,9.0,6.0,71.0,103.0,8.0,3.0,18.0,0.0,12.0,80.0,0.0,Bowling Green,5,11.8,6.4,36.6,11.6,1.8,1.2,14.2,1.6,0.6,3.6,0.0,16.0
11/12/2022,Bowling Green,0-3,3.0,43.0,22.0,120.0,0.175,41.0,2.0,5.0,52.0,72.0,3.0,2.0,8.0,0.0,6.0,51.0,0.0,Bowling Green,3,14.333333333333334,7.333333333333333,40.0,13.666666666666666,0.6666666666666666,1.6666666666666667,17.333333333333332,1.0,0.6666666666666666,2.6666666666666665,0.0,17.0
11/16/2022,Akron,3-0,3.0,46.0,10.0,122.0,0.295,45.0,5.0,4.0,72.0,50.0,3.0,3.0,10.0,0.0,8.0,59.0,1.0,Akron,3,15.333333333333334,3.3333333333333335,40.666666666666664,15.0,1.6666666666666667,1.3333333333333333,24.0,1.0,1.0,3.3333333333333335,0.0,19.666666666666668
11/20/2022,"Ohio @ Muncie, IN",3-1,4.0,64.0,23.0,156.0,0.263,62.0,8.0,10.0,48.0,89.0,3.0,5.0,10.0,1.0,10.0,82.0,1.0,Ohio,4,16.0,5.75,39.0,15.5,2.0,2.5,12.0,0.75,1.25,2.5,0.25,20.5
11/21/2022,"Bowling Green @ Muncie, IN",0-3,3.0,35.0,17.0,109.0,0.165,33.0,3.0,8.0,37.0,67.0,5.0,0.0,2.0,0.0,1.0,39.0,1.0,Bowling Green,3,11.666666666666666,5.666666666666667,36.333333333333336,11.0,1.0,2.6666666666666665,12.333333333333334,1.6666666666666667,0.0,0.6666666666666666,0.0,13.0
12/02/2022,@ Boston College,0-3,3.0,37.0,14.0,101.0,0.228,36.0,1.0,7.0,29.0,68.0,7.0,1.0,10.0,1.0,6.0,44.0,2.0,Boston College,3,12.333333333333334,4.666666666666667,33.666666666666664,12.0,0.3333333333333333,2.3333333333333335,9.666666666666666,2.333333333333333,0.3333333333333333,3.3333333333333335,0.3333333333333333,14.666666666666666
