date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/09/2021,Indiana,3-0,3.0,43.0,12.0,104.0,0.298,43.0,3.0,5.0,59.0,5.0,1.0,26.0,0.0,60.0,0.0,Indiana,3,14.333333333333334,4.0,34.666666666666664,14.333333333333334,1.0,1.6666666666666667,19.666666666666668,0.3333333333333333,8.666666666666666,0.0,20.0
10/15/2021,@ Michigan,0-3,3.0,33.0,14.0,110.0,0.173,28.0,4.0,5.0,40.0,8.0,0.0,19.0,0.0,46.5,0.0,Michigan,3,11.0,4.666666666666667,36.666666666666664,9.333333333333334,1.3333333333333333,1.6666666666666667,13.333333333333334,0.0,6.333333333333333,0.0,15.5
10/16/2021,@ Michigan St.,3-1,4.0,45.0,13.0,128.0,0.25,40.0,7.0,4.0,60.0,5.0,2.0,20.0,1.0,64.0,0.0,Michigan St.,4,11.25,3.25,32.0,10.0,1.75,1.0,15.0,0.5,5.0,0.25,16.0
10/20/2021,Rutgers,3-0,3.0,43.0,13.0,100.0,0.3,37.0,6.0,9.0,48.0,8.0,1.0,16.0,1.0,58.0,0.0,Rutgers,3,14.333333333333334,4.333333333333333,33.333333333333336,12.333333333333334,2.0,3.0,16.0,0.3333333333333333,5.333333333333333,0.3333333333333333,19.333333333333332
10/23/2021,Michigan St.,3-1,4.0,50.0,19.0,135.0,0.23,43.0,9.0,11.0,63.0,6.0,4.0,20.0,1.0,73.0,0.0,Michigan St.,4,12.5,4.75,33.75,10.75,2.25,2.75,15.75,1.0,5.0,0.25,18.25
10/29/2021,@ Penn St.,0-3,3.0,30.0,16.0,108.0,0.13,30.0,1.0,2.0,42.0,7.0,0.0,18.0,0.0,40.0,2.0,Penn St.,3,10.0,5.333333333333333,36.0,10.0,0.3333333333333333,0.6666666666666666,14.0,0.0,6.0,0.0,13.333333333333334
10/31/2021,@ Rutgers,3-0,3.0,40.0,4.0,93.0,0.387,33.0,9.0,6.0,49.0,5.0,1.0,19.0,1.0,59.5,0.0,Rutgers,3,13.333333333333334,1.3333333333333333,31.0,11.0,3.0,2.0,16.333333333333332,0.3333333333333333,6.333333333333333,0.3333333333333333,19.833333333333332
11/05/2021,Purdue,1-3,4.0,44.0,26.0,150.0,0.12,40.0,3.0,4.0,67.0,9.0,5.0,16.0,2.0,60.0,1.0,Purdue,4,11.0,6.5,37.5,10.0,0.75,1.0,16.75,1.25,4.0,0.5,15.0
11/07/2021,Michigan,0-3,3.0,32.0,19.0,103.0,0.126,28.0,3.0,5.0,42.0,4.0,0.0,0.0,0.0,35.0,4.0,Michigan,3,10.666666666666666,6.333333333333333,34.333333333333336,9.333333333333334,1.0,1.6666666666666667,14.0,0.0,0.0,0.0,11.666666666666666
11/12/2021,@ Nebraska,0-3,3.0,25.0,25.0,136.0,0.0,21.0,2.0,6.0,64.0,2.0,1.0,16.0,0.0,36.0,0.0,Nebraska,3,8.333333333333334,8.333333333333334,45.333333333333336,7.0,0.6666666666666666,2.0,21.333333333333332,0.3333333333333333,5.333333333333333,0.0,12.0
11/13/2021,@ Iowa,1-3,4.0,55.0,21.0,150.0,0.227,51.0,2.0,4.0,59.0,7.0,0.0,30.0,0.0,72.0,0.0,Iowa,4,13.75,5.25,37.5,12.75,0.5,1.0,14.75,0.0,7.5,0.0,18.0
11/19/2021,@ Northwestern,3-2,5.0,54.0,26.0,192.0,0.146,52.0,7.0,11.0,83.0,3.0,2.0,26.0,1.0,76.0,0.0,Northwestern,5,10.8,5.2,38.4,10.4,1.4,2.2,16.6,0.4,5.2,0.2,15.2
11/21/2021,@ Illinois,0-3,3.0,30.0,18.0,102.0,0.118,25.0,1.0,5.0,38.0,6.0,0.0,8.0,1.0,35.0,1.0,Illinois,3,10.0,6.0,34.0,8.333333333333334,0.3333333333333333,1.6666666666666667,12.666666666666666,0.0,2.6666666666666665,0.3333333333333333,11.666666666666666
11/26/2021,Ohio St.,0-3,3.0,29.0,15.0,95.0,0.147,25.0,6.0,3.0,30.0,4.0,1.0,18.0,0.0,45.0,0.0,Ohio St.,3,9.666666666666666,5.0,31.666666666666668,8.333333333333334,2.0,1.0,10.0,0.3333333333333333,6.0,0.0,15.0
11/27/2021,Minnesota,1-3,4.0,45.0,27.0,181.0,0.099,43.0,9.0,8.0,78.0,4.0,5.0,26.0,2.0,72.0,0.0,Minnesota,4,11.25,6.75,45.25,10.75,2.25,2.0,19.5,1.25,6.5,0.5,18.0
