date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/27/2021,San Diego,3-0,3.0,38.0,10.0,84.0,0.333,33.0,8.0,7.0,39.0,3.0,1.0,12.0,0.0,53.0,0.0,San Diego,3,12.666666666666666,3.3333333333333335,28.0,11.0,2.6666666666666665,2.3333333333333335,13.0,0.3333333333333333,4.0,0.0,17.666666666666668
08/29/2021,UTSA,3-0,3.0,33.0,8.0,68.0,0.368,30.0,14.0,8.0,26.0,3.0,0.0,14.0,0.0,54.0,0.0,UTSA,3,11.0,2.6666666666666665,22.666666666666668,10.0,4.666666666666667,2.6666666666666665,8.666666666666666,0.0,4.666666666666667,0.0,18.0
09/01/2021,@ Minnesota,3-1,4.0,58.0,22.0,167.0,0.216,53.0,7.0,15.0,73.0,5.0,2.0,20.0,1.0,77.0,0.0,Minnesota,4,14.5,5.5,41.75,13.25,1.75,3.75,18.25,0.5,5.0,0.25,19.25
09/05/2021,Stanford,3-0,3.0,40.0,11.0,97.0,0.299,37.0,8.0,9.0,34.0,2.0,2.0,6.0,0.0,53.0,0.0,Stanford,3,13.333333333333334,3.6666666666666665,32.333333333333336,12.333333333333334,2.6666666666666665,3.0,11.333333333333334,0.6666666666666666,2.0,0.0,17.666666666666668
09/07/2021,Texas St.,3-0,3.0,44.0,6.0,83.0,0.458,41.0,9.0,10.0,38.0,2.0,2.0,12.0,1.0,61.0,0.0,Texas St.,3,14.666666666666666,2.0,27.666666666666668,13.666666666666666,3.0,3.3333333333333335,12.666666666666666,0.6666666666666666,4.0,0.3333333333333333,20.333333333333332
09/10/2021,Arizona,3-1,4.0,47.0,21.0,135.0,0.193,43.0,6.0,14.0,50.0,7.0,2.0,18.0,2.0,64.0,0.0,Arizona,4,11.75,5.25,33.75,10.75,1.5,3.5,12.5,0.5,4.5,0.5,16.0
09/12/2021,Notre Dame,3-1,4.0,59.0,15.0,128.0,0.344,57.0,8.0,7.0,55.0,9.0,1.0,22.0,3.0,79.0,1.0,Notre Dame,4,14.75,3.75,32.0,14.25,2.0,1.75,13.75,0.25,5.5,0.75,19.75
09/17/2021,@ Texas A&M,3-1,4.0,59.0,12.0,146.0,0.322,54.0,5.0,15.0,67.0,5.0,2.0,20.0,3.0,76.0,1.0,Texas A&M,4,14.75,3.0,36.5,13.5,1.25,3.75,16.75,0.5,5.0,0.75,19.0
09/22/2021,@ Rice,3-0,3.0,40.0,7.0,85.0,0.388,36.0,7.0,8.0,41.0,1.0,3.0,8.0,0.0,54.0,1.0,Rice,3,13.333333333333334,2.3333333333333335,28.333333333333332,12.0,2.3333333333333335,2.6666666666666665,13.666666666666666,1.0,2.6666666666666665,0.0,18.0
09/30/2021,West Virginia,3-0,3.0,45.0,8.0,88.0,0.42,44.0,3.0,8.0,39.0,1.0,0.0,14.0,1.0,55.0,0.0,West Virginia,3,15.0,2.6666666666666665,29.333333333333332,14.666666666666666,1.0,2.6666666666666665,13.0,0.0,4.666666666666667,0.3333333333333333,18.333333333333332
10/01/2021,West Virginia,3-0,3.0,40.0,7.0,92.0,0.359,39.0,11.0,7.0,47.0,2.0,1.0,17.0,0.0,60.5,2.0,West Virginia,3,13.333333333333334,2.3333333333333335,30.666666666666668,13.0,3.6666666666666665,2.3333333333333335,15.666666666666666,0.3333333333333333,5.666666666666667,0.0,20.166666666666668
10/09/2021,@ Kansas,3-2,5.0,72.0,18.0,173.0,0.312,69.0,7.0,15.0,74.0,5.0,1.0,6.0,1.0,83.0,0.0,Kansas,5,14.4,3.6,34.6,13.8,1.4,3.0,14.8,0.2,1.2,0.2,16.6
10/10/2021,@ Kansas,3-0,3.0,51.0,11.0,96.0,0.417,45.0,3.0,13.0,39.0,3.0,1.0,6.0,0.0,58.0,0.0,Kansas,3,17.0,3.6666666666666665,32.0,15.0,1.0,4.333333333333333,13.0,0.3333333333333333,2.0,0.0,19.333333333333332
10/14/2021,TCU,3-0,3.0,40.0,8.0,96.0,0.333,38.0,5.0,13.0,45.0,8.0,1.0,17.0,1.0,54.5,1.0,TCU,3,13.333333333333334,2.6666666666666665,32.0,12.666666666666666,1.6666666666666667,4.333333333333333,15.0,0.3333333333333333,5.666666666666667,0.3333333333333333,18.166666666666668
10/15/2021,TCU,3-0,3.0,38.0,7.0,75.0,0.413,36.0,11.0,10.0,36.0,3.0,1.0,16.0,2.0,58.0,0.0,TCU,3,12.666666666666666,2.3333333333333335,25.0,12.0,3.6666666666666665,3.3333333333333335,12.0,0.3333333333333333,5.333333333333333,0.6666666666666666,19.333333333333332
10/21/2021,@ Iowa St.,3-1,4.0,40.0,11.0,100.0,0.29,39.0,10.0,12.0,40.0,7.0,2.0,30.0,0.0,67.0,0.0,Iowa St.,4,10.0,2.75,25.0,9.75,2.5,3.0,10.0,0.5,7.5,0.0,16.75
10/22/2021,@ Iowa St.,3-0,3.0,39.0,16.0,107.0,0.215,37.0,7.0,8.0,49.0,5.0,1.0,22.0,0.0,58.0,1.0,Iowa St.,3,13.0,5.333333333333333,35.666666666666664,12.333333333333334,2.3333333333333335,2.6666666666666665,16.333333333333332,0.3333333333333333,7.333333333333333,0.0,19.333333333333332
