date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
10/24/2021,@ UCLA,0-3,3.0,37.0,17.0,98.0,0.204,36.0,2.0,12.0,32.0,3.0,0.0,10.0,0.0,44.0,1.0,UCLA,3,12.333333333333334,5.666666666666667,32.666666666666664,12.0,0.6666666666666666,4.0,10.666666666666666,0.0,3.3333333333333335,0.0,14.666666666666666
10/29/2021,Colorado,1-3,4.0,54.0,27.0,185.0,0.146,48.0,4.0,8.0,78.0,9.0,4.0,8.0,1.0,66.0,0.0,Colorado,4,13.5,6.75,46.25,12.0,1.0,2.0,19.5,1.0,2.0,0.25,16.5
10/31/2021,Utah,1-3,4.0,61.0,18.0,134.0,0.321,60.0,2.0,6.0,47.0,5.0,3.0,12.0,5.0,72.0,1.0,Utah,4,15.25,4.5,33.5,15.0,0.5,1.5,11.75,0.75,3.0,1.25,18.0
11/05/2021,@ California,3-0,3.0,46.0,23.0,135.0,0.17,42.0,6.0,1.0,52.0,3.0,1.0,16.0,1.0,61.0,2.0,California,3,15.333333333333334,7.666666666666667,45.0,14.0,2.0,0.3333333333333333,17.333333333333332,0.3333333333333333,5.333333333333333,0.3333333333333333,20.333333333333332
11/07/2021,@ Stanford,1-3,4.0,54.0,25.0,141.0,0.206,51.0,2.0,7.0,51.0,3.0,1.0,16.0,4.0,65.0,1.0,Stanford,4,13.5,6.25,35.25,12.75,0.5,1.75,12.75,0.25,4.0,1.0,16.25
11/12/2021,UCLA,0-3,3.0,28.0,17.0,101.0,0.109,26.0,1.0,6.0,36.0,2.0,2.0,14.0,1.0,38.0,0.0,UCLA,3,9.333333333333334,5.666666666666667,33.666666666666664,8.666666666666666,0.3333333333333333,2.0,12.0,0.6666666666666666,4.666666666666667,0.3333333333333333,12.666666666666666
11/14/2021,Southern California,0-3,3.0,26.0,18.0,103.0,0.078,20.0,6.0,4.0,43.0,4.0,1.0,10.0,0.0,38.0,1.0,Southern California,3,8.666666666666666,6.0,34.333333333333336,6.666666666666667,2.0,1.3333333333333333,14.333333333333334,0.3333333333333333,3.3333333333333335,0.0,12.666666666666666
11/19/2021,@ Washington,0-3,3.0,35.0,11.0,109.0,0.22,30.0,2.0,4.0,43.0,7.0,3.0,6.0,4.0,43.0,0.0,Washington,3,11.666666666666666,3.6666666666666665,36.333333333333336,10.0,0.6666666666666666,1.3333333333333333,14.333333333333334,1.0,2.0,1.3333333333333333,14.333333333333334
11/21/2021,@ Washington St.,0-3,3.0,38.0,24.0,112.0,0.125,34.0,0.0,3.0,53.0,8.0,4.0,8.0,3.0,46.0,2.0,Washington St.,3,12.666666666666666,8.0,37.333333333333336,11.333333333333334,0.0,1.0,17.666666666666668,1.3333333333333333,2.6666666666666665,1.0,15.333333333333334
11/24/2021,Arizona St.,3-1,4.0,56.0,26.0,156.0,0.192,50.0,6.0,7.0,77.0,2.0,2.0,24.0,5.0,76.0,0.0,Arizona St.,4,14.0,6.5,39.0,12.5,1.5,1.75,19.25,0.5,6.0,1.25,19.0
11/26/2021,Oregon,0-3,3.0,30.0,19.0,99.0,0.111,29.0,2.0,6.0,40.0,3.0,1.0,15.0,1.0,40.5,0.0,Oregon,3,10.0,6.333333333333333,33.0,9.666666666666666,0.6666666666666666,2.0,13.333333333333334,0.3333333333333333,5.0,0.3333333333333333,13.5
